"Localidades";"Períodos";"Renda per Capita - Censo Demográfico (Em reais correntes)";"Domicílios Particulares com Renda per Capita até 1/2 Salário Mínimo - Censo Demográfico (Em %)";"Domicílios Particulares com Renda per Capita até 1/4 do Salário Mínimo - Censo Demográfico (Em %)";"Cód. IBGE"
"Guarantã";"2000";"205,36";"";"";3518107
"Guarantã";"2010";"511,51";"26,5";"7,91";3518107
"Guararapes";"2000";"277,84";"";"";3518206
"Guararapes";"2010";"645,78";"17,61";"4,69";3518206
"Guararema";"2000";"354,85";"";"";3518305
"Guararema";"2010";"621,85";"24,38";"8,21";3518305
"Guaratinguetá";"2000";"400,15";"";"";3518404
"Guaratinguetá";"2010";"800,48";"20,26";"6,59";3518404
"Guaraçaí";"2000";"250,66";"";"";3517802
"Guaraçaí";"2010";"551,94";"22,77";"7,04";3517802
"Guareí";"2000";"214,42";"";"";3518503
"Guareí";"2010";"405,79";"23,69";"5,78";3518503
"Guariba";"2000";"246,13";"";"";3518602
"Guariba";"2010";"579,21";"21,36";"6,43";3518602
"Guarujá";"2000";"308,04";"";"";3518701
"Guarujá";"2010";"602,13";"25,79";"10,18";3518701
"Guarulhos";"2000";"342,77";"";"";3518800
"Guarulhos";"2010";"633,33";"25,5";"10,8";3518800
"Guatapará";"2000";"229,52";"";"";3518859
"Guatapará";"2010";"541,49";"26,47";"11,07";3518859
"Guzolândia";"2000";"141,94";"";"";3518909
"Guzolândia";"2010";"461,32";"26,43";"6,96";3518909
"Herculândia";"2000";"193,28";"";"";3519006
"Herculândia";"2010";"459,46";"34,16";"13,53";3519006
"Holambra";"2000";"472,63";"";"";3519055
"Holambra";"2010";"1014,47";"7,19";"1,71";3519055
"Hortolândia";"2000";"259,72";"";"";3519071
"Hortolândia";"2010";"552,57";"21,03";"7,89";3519071
"Iacanga";"2000";"267,27";"";"";3519105
"Iacanga";"2010";"651,32";"16,26";"3,77";3519105
"Iacri";"2000";"209,89";"";"";3519204
"Iacri";"2010";"542,91";"23,44";"5,09";3519204
"Iaras";"2000";"160,06";"";"";3519253
"Iaras";"2010";"303,49";"40,7";"25,63";3519253
"Ibaté";"2000";"240,09";"";"";3519303
"Ibaté";"2010";"511,08";"21,28";"6,67";3519303
"Ibirá";"2000";"280,86";"";"";3519402
"Ibirá";"2010";"673,82";"15,17";"4,39";3519402
"Ibirarema";"2000";"297,47";"";"";3519501
"Ibirarema";"2010";"524,57";"24,91";"9,69";3519501
"Ibitinga";"2000";"329,18";"";"";3519600
"Ibitinga";"2010";"626,92";"15,91";"5,68";3519600
"Ibiúna";"2000";"231,03";"";"";3519709
"Ibiúna";"2010";"504,51";"30,31";"10,19";3519709
"Icém";"2000";"250,66";"";"";3519808
"Icém";"2010";"576";"21,17";"6,65";3519808
"Iepê";"2000";"220,46";"";"";3519907
"Iepê";"2010";"544,87";"24,45";"7,84";3519907
"Igarapava";"2000";"289,92";"";"";3520103
"Igarapava";"2010";"676,33";"16,95";"4,2";3520103
"Igaratá";"2000";"244,62";"";"";3520202
"Igaratá";"2010";"588,07";"27,27";"9,85";3520202
"Igaraçu do Tietê";"2000";"249,15";"";"";3520004
"Igaraçu do Tietê";"2010";"507,22";"21,22";"6,4";3520004
"Iguape";"2000";"241,6";"";"";3520301
"Iguape";"2010";"454,99";"38,67";"17,76";3520301
"Ilha Comprida";"2000";"330,69";"";"";3520426
"Ilha Comprida";"2010";"506,29";"31,17";"13,9";3520426
"Ilha Solteira";"2000";"388,07";"";"";3520442
"Ilha Solteira";"2010";"896,76";"11,8";"3,3";3520442
"Ilhabela";"2000";"338,24";"";"";3520400
"Ilhabela";"2010";"681,5";"19,11";"6,71";3520400
"Indaiatuba";"2000";"443,94";"";"";3520509
"Indaiatuba";"2010";"931,09";"10,29";"3,67";3520509
"Indiana";"2000";"262,74";"";"";3520608
"Indiana";"2010";"595,77";"16,76";"3,93";3520608
"Indiaporã";"2000";"229,52";"";"";3520707
"Indiaporã";"2010";"609,67";"20,03";"5,3";3520707
"Inúbia Paulista";"2000";"197,81";"";"";3520806
"Inúbia Paulista";"2010";"545,69";"17,04";"3,58";3520806
"Ipaussu";"2000";"246,13";"";"";3520905
"Ipaussu";"2010";"575,57";"22,74";"5,18";3520905
"Iperó";"2000";"220,46";"";"";3521002
