"Localidades";"Períodos";"Renda per Capita - Censo Demográfico (Em reais correntes)";"Domicílios Particulares com Renda per Capita até 1/2 Salário Mínimo - Censo Demográfico (Em %)";"Domicílios Particulares com Renda per Capita até 1/4 do Salário Mínimo - Censo Demográfico (Em %)";"Cód. IBGE"
"Ribeirão Preto";"2010";"1052,76";"11,75";"4,55";3543402
"Rifaina";"2000";"232,54";"";"";3543600
"Rifaina";"2010";"598,17";"21,44";"5,82";3543600
"Rincão";"2000";"220,46";"";"";3543709
"Rincão";"2010";"550,16";"23,18";"6,93";3543709
"Rinópolis";"2000";"231,03";"";"";3543808
"Rinópolis";"2010";"539,38";"22,55";"6,79";3543808
"Rio Claro";"2000";"468,1";"";"";3543907
"Rio Claro";"2010";"840,39";"12,87";"4,81";3543907
"Rio das Pedras";"2000";"298,98";"";"";3544004
"Rio das Pedras";"2010";"674,87";"14,73";"4,28";3544004
"Rio Grande da Serra";"2000";"196,3";"";"";3544103
"Rio Grande da Serra";"2010";"487,07";"26,82";"10,28";3544103
"Riolândia";"2000";"226,5";"";"";3544202
"Riolândia";"2010";"451,53";"25,45";"5,98";3544202
"Riversul";"2000";"137,41";"";"";3543501
"Riversul";"2010";"366,24";"45,04";"22,21";3543501
"Rosana";"2000";"295,96";"";"";3544251
"Rosana";"2010";"593,11";"30,12";"12,72";3544251
"Roseira";"2000";"208,38";"";"";3544301
"Roseira";"2010";"544,65";"25,83";"7,65";3544301
"Rubiácea";"2000";"221,97";"";"";3544400
"Rubiácea";"2010";"564,45";"16,28";"4,85";3544400
"Rubinéia";"2000";"250,66";"";"";3544509
"Rubinéia";"2010";"551,71";"22,7";"8,88";3544509
"Sabino";"2000";"271,8";"";"";3544608
"Sabino";"2010";"592,76";"18,31";"5,2";3544608
"Sagres";"2000";"137,41";"";"";3544707
"Sagres";"2010";"497,02";"23,94";"5,53";3544707
"Sales";"2000";"246,13";"";"";3544806
"Sales";"2010";"588,93";"18,91";"4,96";3544806
"Sales Oliveira";"2000";"317,1";"";"";3544905
"Sales Oliveira";"2010";"683,68";"12,64";"2,56";3544905
"Salesópolis";"2000";"259,72";"";"";3545001
"Salesópolis";"2010";"511,46";"27,49";"8,61";3545001
"Salmourão";"2000";"172,14";"";"";3545100
"Salmourão";"2010";"449,61";"26,4";"9,88";3545100
"Saltinho";"2000";"427,33";"";"";3545159
"Saltinho";"2010";"824,83";"7,57";"1,34";3545159
"Salto";"2000";"342,77";"";"";3545209
"Salto";"2010";"753,69";"12,62";"3,91";3545209
"Salto de Pirapora";"2000";"229,52";"";"";3545308
"Salto de Pirapora";"2010";"533,06";"22,28";"6,84";3545308
"Salto Grande";"2000";"241,6";"";"";3545407
"Salto Grande";"2010";"474,21";"29,93";"10,54";3545407
"Sandovalina";"2000";"187,24";"";"";3545506
"Sandovalina";"2010";"423,45";"30,05";"10,45";3545506
"Santa Adélia";"2000";"283,88";"";"";3545605
"Santa Adélia";"2010";"705,58";"12,69";"2,87";3545605
"Santa Albertina";"2000";"318,61";"";"";3545704
"Santa Albertina";"2010";"624,47";"16,95";"3,64";3545704
"Santa Bárbara d'Oeste";"2000";"324,65";"";"";3545803
"Santa Bárbara d'Oeste";"2010";"730,23";"11,01";"3,56";3545803
"Santa Branca";"2000";"268,78";"";"";3546009
"Santa Branca";"2010";"591,21";"22,83";"6,9";3546009
"Santa Clara d'Oeste";"2000";"196,3";"";"";3546108
"Santa Clara d'Oeste";"2010";"586,72";"15,08";"2,49";3546108
"Santa Cruz da Conceição";"2000";"348,81";"";"";3546207
"Santa Cruz da Conceição";"2010";"893,78";"12,64";"3,07";3546207
"Santa Cruz da Esperança";"2000";"265,76";"";"";3546256
"Santa Cruz da Esperança";"2010";"557,35";"26";"9,11";3546256
"Santa Cruz das Palmeiras";"2000";"288,41";"";"";3546306
"Santa Cruz das Palmeiras";"2010";"594,72";"20,02";"6,57";3546306
"Santa Cruz do Rio Pardo";"2000";"345,79";"";"";3546405
"Santa Cruz do Rio Pardo";"2010";"711,61";"14,91";"3,95";3546405
"Santa Ernestina";"2000";"240,09";"";"";3546504
"Santa Ernestina";"2010";"581,3";"16,5";"4,23";3546504
"Santa Fé do Sul";"2000";"360,89";"";"";3546603
"Santa Fé do Sul";"2010";"745,67";"12,67";"3,31";3546603
"Santa Gertrudes";"2000";"285,39";"";"";3546702
"Santa Gertrudes";"2010";"604,6";"14,48";"5,22";3546702
"Santa Isabel";"2000";"271,8";"";"";3546801
"Santa Isabel";"2010";"543,5";"27,33";"9,93";3546801
"Santa Lúcia";"2000";"208,38";"";"";3546900
"Santa Lúcia";"2010";"555,76";"18,71";"4,73";3546900
"Santa Maria da Serra";"2000";"243,11";"";"";3547007
"Santa Maria da Serra";"2010";"460,87";"29,18";"12,03";3547007
"Santa Mercedes";"2000";"175,16";"";"";3547106
"Santa Mercedes";"2010";"505,59";"24,25";"7,05";3547106
"Santa Rita d'Oeste";"2000";"466,59";"";"";3547403
"Santa Rita d'Oeste";"2010";"573,16";"15,59";"4,06";3547403
"Santa Rita do Passa Quatro";"2000";"178,18";"";"";3547502
"Santa Rita do Passa Quatro";"2010";"765,12";"12,82";"3,05";3547502
"Santa Rosa de Viterbo";"2000";"298,98";"";"";3547601
"Santa Rosa de Viterbo";"2010";"646,64";"19,82";"5,65";3547601
"Santa Salete";"2000";"203,85";"";"";3547650
"Santa Salete";"2010";"597,11";"7,69";"0,88";3547650
"Santana da Ponte Pensa";"2000";"250,66";"";"";3547205
"Santana da Ponte Pensa";"2010";"747,3";"12,1";"1,85";3547205
"Santana de Parnaíba";"2000";"759,53";"";"";3547304
"Santana de Parnaíba";"2010";"1507,66";"21,36";"8,8";3547304
"Santo Anastácio";"2000";"259,72";"";"";3547700
"Santo Anastácio";"2010";"589,95";"24,13";"8,78";3547700
"Santo André";"2000";"511,89";"";"";3547809
"Santo André";"2010";"1021,51";"13,72";"5,52";3547809
"Santo Antônio da Alegria";"2000";"270,29";"";"";3547908
"Santo Antônio da Alegria";"2010";"520,37";"25,02";"5,97";3547908
"Santo Antônio de Posse";"2000";"318,61";"";"";3548005
"Santo Antônio de Posse";"2010";"588,32";"19,74";"5,6";3548005
"Santo Antônio do Aracanguá";"2000";"199,32";"";"";3548054
"Santo Antônio do Aracanguá";"2010";"558,83";"18,35";"5,58";3548054
"Santo Antônio do Jardim";"2000";"240,09";"";"";3548104
"Santo Antônio do Jardim";"2010";"565,74";"16,55";"4,45";3548104
"Santo Antônio do Pinhal";"2000";"286,9";"";"";3548203
"Santo Antônio do Pinhal";"2010";"593,67";"27,36";"8";3548203
"Santo Expedito";"2000";"203,85";"";"";3548302
"Santo Expedito";"2010";"484,96";"25,82";"9,06";3548302
"Santópolis do Aguapeí";"2000";"166,1";"";"";3548401
"Santópolis do Aguapeí";"2010";"490,65";"21,15";"5,29";3548401
"Santos";"2000";"724,8";"";"";3548500
"Santos";"2010";"1364,92";"9,31";"4,23";3548500
"São Bento do Sapucaí";"2000";"231,03";"";"";3548609
"São Bento do Sapucaí";"2010";"525,47";"31,38";"9,89";3548609
"São Bernardo do Campo";"2000";"504,34";"";"";3548708
"São Bernardo do Campo";"2010";"944,67";"16,77";"7,15";3548708
"São Caetano do Sul";"2000";"827,48";"";"";3548807
"São Caetano do Sul";"2010";"1578,74";"6,42";"2,83";3548807
"São Carlos";"2000";"456,02";"";"";3548906
"São Carlos";"2010";"923,62";"11,71";"3,77";3548906
"São Francisco";"2000";"193,28";"";"";3549003
"São Francisco";"2010";"442,8";"21,76";"4,63";3549003
"São João da Boa Vista";"2000";"407,7";"";"";3549102
"São João da Boa Vista";"2010";"823,48";"12,58";"3,31";3549102
"São João das Duas Pontes";"2000";"247,64";"";"";3549201
"São João das Duas Pontes";"2010";"483,18";"19,95";"3,99";3549201
"São João de Iracema";"2000";"298,98";"";"";3549250
"São João de Iracema";"2010";"533,45";"17,26";"3,89";3549250
"São João do Pau d'Alho";"2000";"172,14";"";"";3549300
"São João do Pau d'Alho";"2010";"590,31";"10,97";"2,02";3549300
"São Joaquim da Barra";"2000";"336,73";"";"";3549409
"São Joaquim da Barra";"2010";"722,9";"13,07";"3,57";3549409
"São José da Bela Vista";"2000";"194,79";"";"";3549508
"São José da Bela Vista";"2010";"510,93";"30,17";"9,94";3549508
"São José do Barreiro";"2000";"252,17";"";"";3549607
"São José do Barreiro";"2010";"454,64";"38,88";"15,57";3549607
"São José do Rio Pardo";"2000";"336,73";"";"";3549706
"São José do Rio Pardo";"2010";"680,16";"17,71";"4,6";3549706
"São José do Rio Preto";"2000";"510,38";"";"";3549805
"São José do Rio Preto";"2010";"978,49";"11,46";"4,55";3549805
"São José dos Campos";"2000";"469,61";"";"";3549904
"São José dos Campos";"2010";"955,77";"15,59";"5,77";3549904
"São Lourenço da Serra";"2000";"240,09";"";"";3549953
"São Lourenço da Serra";"2010";"507,98";"29,79";"12,59";3549953
"São Luís do Paraitinga";"2000";"237,07";"";"";3550001
"São Luís do Paraitinga";"2010";"479,18";"32,31";"10,02";3550001
"São Manuel";"2000";"302";"";"";3550100
"São Manuel";"2010";"641,13";"17,36";"4,93";3550100
"São Miguel Arcanjo";"2000";"224,99";"";"";3550209
"São Miguel Arcanjo";"2010";"447,67";"36,97";"13,14";3550209
"São Paulo";"2000";"608,53";"";"";3550308
"São Paulo";"2010";"1126,97";"18,73";"8,55";3550308
"São Pedro";"2000";"351,83";"";"";3550407
"São Pedro";"2010";"689,97";"17,13";"6,19";3550407
"São Pedro do Turvo";"2000";"179,69";"";"";3550506
"São Pedro do Turvo";"2010";"467,68";"27,44";"6,67";3550506
"São Roque";"2000";"424,31";"";"";3550605
"São Roque";"2010";"778,3";"17,42";"6,33";3550605
"São Sebastião";"2000";"359,38";"";"";3550704
"São Sebastião";"2010";"697,24";"20,05";"6,85";3550704
"São Sebastião da Grama";"2000";"244,62";"";"";3550803
"São Sebastião da Grama";"2010";"557,78";"23,97";"5,81";3550803
"São Simão";"2000";"312,57";"";"";3550902
"São Simão";"2010";"653,91";"17,95";"5,78";3550902
"São Vicente";"2000";"329,18";"";"";3551009
"São Vicente";"2010";"661,48";"20,45";"7,86";3551009
"Sarapuí";"2000";"279,35";"";"";3551108
"Sarapuí";"2010";"525,38";"30,19";"10,23";3551108
"Sarutaiá";"2000";"152,51";"";"";3551207
"Sarutaiá";"2010";"436,85";"29,13";"7,7";3551207
"Sebastianópolis do Sul";"2000";"206,87";"";"";3551306
"Sebastianópolis do Sul";"2010";"706,16";"9,29";"2,27";3551306
"Serra Azul";"2000";"217,44";"";"";3551405
"Serra Azul";"2010";"421,83";"25,35";"9,79";3551405
"Serra Negra";"2000";"465,08";"";"";3551603
"Serra Negra";"2010";"799,57";"13,48";"3,82";3551603
"Serrana";"2000";"237,07";"";"";3551504
"Serrana";"2010";"571,8";"18,65";"5,85";3551504
"Sertãozinho";"2000";"397,13";"";"";3551702
"Sertãozinho";"2010";"779,98";"15,66";"6,18";3551702
"Sete Barras";"2000";"154,02";"";"";3551801
"Sete Barras";"2010";"383,28";"45,46";"21,04";3551801
"Severínia";"2000";"215,93";"";"";3551900
"Severínia";"2010";"538,52";"18,77";"4,13";3551900
"Silveiras";"2000";"217,44";"";"";3552007
"Silveiras";"2010";"448,24";"36,24";"12,3";3552007
"Socorro";"2000";"320,12";"";"";3552106
"Socorro";"2010";"660,37";"15,77";"4,72";3552106
"Sorocaba";"2000";"445,45";"";"";3552205
"Sorocaba";"2010";"874,7";"14,71";"5,24";3552205
"Sud Mennucci";"2000";"256,7";"";"";3552304
"Sud Mennucci";"2010";"623,29";"18,05";"4,67";3552304
"Sumaré";"2000";"291,43";"";"";3552403
"Sumaré";"2010";"668,49";"18,17";"6,93";3552403
"Suzanápolis";"2000";"184,22";"";"";3552551
"Suzanápolis";"2010";"454,4";"28,88";"10,6";3552551
"Suzano";"2000";"289,92";"";"";3552502
"Suzano";"2010";"552,44";"28,42";"10,83";3552502
"Tabapuã";"2000";"247,64";"";"";3552601
"Tabapuã";"2010";"658,52";"11,24";"2,32";3552601
"Tabatinga";"2000";"261,23";"";"";3552700
"Tabatinga";"2010";"575,37";"16,64";"4,08";3552700
"Taboão da Serra";"2000";"356,36";"";"";3552809
"Taboão da Serra";"2010";"664,47";"21,28";"8,3";3552809
"Taciba";"2000";"218,95";"";"";3552908
"Taciba";"2010";"522,47";"22,8";"6,05";3552908
"Taguaí";"2000";"221,97";"";"";3553005
"Taguaí";"2010";"516,23";"18,19";"4,26";3553005
"Taiaçu";"2000";"238,58";"";"";3553104
"Taiaçu";"2010";"544,6";"20,29";"5,46";3553104
"Taiúva";"2000";"318,61";"";"";3553203
"Taiúva";"2010";"718,29";"11,93";"1,91";3553203
"Tambaú";"2000";"255,19";"";"";3553302
"Tambaú";"2010";"616,56";"16,78";"3,76";3553302
"Tanabi";"2000";"297,47";"";"";3553401
"Tanabi";"2010";"677,09";"14,8";"3,6";3553401
"Tapiraí";"2000";"217,44";"";"";3553500
"Tapiraí";"2010";"408,83";"37,19";"13,3";3553500
"Tapiratiba";"2000";"274,82";"";"";3553609
"Tapiratiba";"2010";"550,63";"20,69";"5,19";3553609
"Taquaral";"2000";"217,44";"";"";3553658
"Taquaral";"2010";"582,81";"18,5";"4,93";3553658
"Taquaritinga";"2000";"295,96";"";"";3553708
"Taquaritinga";"2010";"644,58";"18,22";"5,02";3553708
"Taquarituba";"2000";"238,58";"";"";3553807
"Taquarituba";"2010";"502,48";"30,26";"10,08";3553807
"Taquarivaí";"2000";"170,63";"";"";3553856
"Taquarivaí";"2010";"332,69";"47,13";"15,69";3553856
"Tarabai";"2000";"160,06";"";"";3553906
"Tarabai";"2010";"454,06";"28,66";"8,07";3553906
"Tarumã";"2000";"238,58";"";"";3553955
"Tarumã";"2010";"572,15";"20,56";"6,37";3553955
"Tatuí";"2000";"332,2";"";"";3554003
"Tatuí";"2010";"673,96";"17,85";"6,26";3554003
"Taubaté";"2000";"459,04";"";"";3554102
"Taubaté";"2010";"846,33";"16,08";"5,71";3554102
"Tejupá";"2000";"178,18";"";"";3554201
"Tejupá";"2010";"403,23";"36,35";"10,27";3554201
"Teodoro Sampaio";"2000";"253,68";"";"";3554300
"Teodoro Sampaio";"2010";"501,99";"29,42";"11,21";3554300
"Terra Roxa";"2000";"205,36";"";"";3554409
"Terra Roxa";"2010";"598,58";"15,43";"3,33";3554409
"Tietê";"2000";"427,33";"";"";3554508
"Tietê";"2010";"783,04";"12,79";"3,92";3554508
"Timburi";"2000";"199,32";"";"";3554607
"Timburi";"2010";"483,54";"28,62";"9,35";3554607
"Torre de Pedra";"2000";"163,08";"";"";3554656
"Torre de Pedra";"2010";"497,97";"24,81";"9,03";3554656
"Torrinha";"2000";"298,98";"";"";3554706
"Torrinha";"2010";"662,73";"14,17";"3,3";3554706
"Trabiju";"2000";"199,32";"";"";3554755
"Trabiju";"2010";"482,86";"23,28";"7,97";3554755
"Tremembé";"2000";"365,42";"";"";3554805
"Tremembé";"2010";"715,72";"20,82";"7,85";3554805
"Três Fronteiras";"2000";"238,58";"";"";3554904
"Três Fronteiras";"2010";"585,37";"17,44";"4,51";3554904
"Tuiuti";"2000";"240,09";"";"";3554953
"Tuiuti";"2010";"572,79";"18,13";"4,53";3554953
"Tupã";"2000";"348,81";"";"";3555000
"Tupã";"2010";"688,97";"19,24";"6,46";3555000
"Tupi Paulista";"2000";"317,1";"";"";3555109
"Tupi Paulista";"2010";"689,61";"12,75";"2,61";3555109
"Turiúba";"2000";"232,54";"";"";3555208
"Turiúba";"2010";"670,14";"14,65";"3,7";3555208
"Turmalina";"2000";"200,83";"";"";3555307
"Turmalina";"2010";"633,98";"13,81";"3,49";3555307
"Ubarana";"2000";"175,16";"";"";3555356
"Ubarana";"2010";"478,37";"21,43";"5,48";3555356
"Ubatuba";"2000";"317,1";"";"";3555406
"Ubatuba";"2010";"572,41";"26,54";"10,33";3555406
"Ubirajara";"2000";"188,75";"";"";3555505
"Ubirajara";"2010";"522,85";"21,72";"5,6";3555505
"Uchoa";"2000";"241,6";"";"";3555604
"Uchoa";"2010";"606,31";"18,18";"5,01";3555604
"União Paulista";"2000";"173,65";"";"";3555703
"União Paulista";"2010";"570,21";"15,91";"3,14";3555703
"Urânia";"2000";"238,58";"";"";3555802
"Urânia";"2010";"595,62";"18,66";"4,99";3555802
"Uru";"2000";"215,93";"";"";3555901
"Uru";"2010";"495,72";"26,03";"7,76";3555901
"Urupês";"2000";"285,39";"";"";3556008
"Urupês";"2010";"682,87";"11,84";"2,74";3556008
"Valentim Gentil";"2000";"280,86";"";"";3556107
"Valentim Gentil";"2010";"590,86";"14,95";"3,82";3556107
"Valinhos";"2000";"567,76";"";"";3556206
"Valinhos";"2010";"1247,87";"7,98";"2,93";3556206
"Valparaíso";"2000";"273,31";"";"";3556305
"Valparaíso";"2010";"557,41";"20,75";"6,73";3556305
"Vargem";"2000";"249,15";"";"";3556354
"Vargem";"2010";"560,01";"19,19";"5";3556354
"Vargem Grande do Sul";"2000";"282,37";"";"";3556404
"Vargem Grande do Sul";"2010";"593,94";"19,21";"6,09";3556404
"Vargem Grande Paulista";"2000";"295,96";"";"";3556453
"Vargem Grande Paulista";"2010";"717,88";"20,15";"8,09";3556453
"Várzea Paulista";"2000";"259,72";"";"";3556503
"Várzea Paulista";"2010";"574,7";"19,17";"7,26";3556503
"Vera Cruz";"2000";"276,33";"";"";3556602
"Vera Cruz";"2010";"609,6";"18,5";"4,25";3556602
"Vinhedo";"2000";"626,65";"";"";3556701
"Vinhedo";"2010";"1308,22";"9,6";"4,43";3556701
"Viradouro";"2000";"264,25";"";"";3556800
"Viradouro";"2010";"626,55";"15,1";"3,92";3556800
"Vista Alegre do Alto";"2000";"394,11";"";"";3556909
"Vista Alegre do Alto";"2010";"692,71";"8,99";"2,01";3556909
"Vitória Brasil";"2000";"176,67";"";"";3556958
"Vitória Brasil";"2010";"515,51";"16,49";"3,94";3556958
"Votorantim";"2000";"303,51";"";"";3557006
"Votorantim";"2010";"643,2";"16,93";"5,43";3557006
"Votuporanga";"2000";"415,25";"";"";3557105
"Votuporanga";"2010";"808";"12,51";"3,95";3557105
"Zacarias";"2000";"175,16";"";"";3557154
"Zacarias";"2010";"523,97";"17,72";"3,85";3557154
