"Localidades";"Períodos";"Taxa Geométrica de Crescimento Anual da População - 2010/2019 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 2000/2010 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1991/2000 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1980/1991 (Em % a.a.)";"Cód. IBGE"
"Bernardino de Campos";"2010";"";"0,06";"";"";3506300
"Bernardino de Campos";"2019";"0,01";"";"";"";3506300
"Bertioga";"1991";"";"";"";"NA";3506359
"Bertioga";"2000";"";"";"11,36";"";3506359
"Bertioga";"2010";"";"4,77";"";"";3506359
"Bertioga";"2019";"2,95";"";"";"";3506359
"Bilac";"1991";"";"";"";"0,21";3506409
"Bilac";"2000";"";"";"1,21";"";3506409
"Bilac";"2010";"";"1,47";"";"";3506409
"Bilac";"2019";"1,07";"";"";"";3506409
"Birigui";"1991";"";"";"";"3,6";3506508
"Birigui";"2000";"";"";"2,6";"";3506508
"Birigui";"2010";"";"1,44";"";"";3506508
"Birigui";"2019";"1,13";"";"";"";3506508
"Biritiba-Mirim";"1991";"";"";"";"2,64";3506607
"Biritiba-Mirim";"2000";"";"";"3,68";"";3506607
"Biritiba-Mirim";"2010";"";"1,51";"";"";3506607
"Biritiba-Mirim";"2019";"1,26";"";"";"";3506607
"Boa Esperança do Sul";"1991";"";"";"";"3,24";3506706
"Boa Esperança do Sul";"2000";"";"";"2,09";"";3506706
"Boa Esperança do Sul";"2010";"";"0,83";"";"";3506706
"Boa Esperança do Sul";"2019";"0,68";"";"";"";3506706
"Bocaina";"1991";"";"";"";"0,63";3506805
"Bocaina";"2000";"";"";"2,97";"";3506805
"Bocaina";"2010";"";"1,42";"";"";3506805
"Bocaina";"2019";"1,14";"";"";"";3506805
"Bofete";"1991";"";"";"";"2,3";3506904
"Bofete";"2000";"";"";"2,96";"";3506904
"Bofete";"2010";"";"2,72";"";"";3506904
"Bofete";"2019";"1,46";"";"";"";3506904
"Boituva";"1991";"";"";"";"5,69";3507001
"Boituva";"2000";"";"";"4,57";"";3507001
"Boituva";"2010";"";"3,47";"";"";3507001
"Boituva";"2019";"1,78";"";"";"";3507001
"Bom Jesus dos Perdões";"1991";"";"";"";"3,01";3507100
"Bom Jesus dos Perdões";"2000";"";"";"3,45";"";3507100
"Bom Jesus dos Perdões";"2010";"";"4";"";"";3507100
"Bom Jesus dos Perdões";"2019";"2,17";"";"";"";3507100
"Bom Sucesso de Itararé";"1991";"";"";"";"NA";3507159
"Bom Sucesso de Itararé";"2000";"";"";"3,72";"";3507159
"Bom Sucesso de Itararé";"2010";"";"1,03";"";"";3507159
"Bom Sucesso de Itararé";"2019";"0,79";"";"";"";3507159
"Borá";"1991";"";"";"";"-1,2";3507209
"Borá";"2000";"";"";"0,6";"";3507209
"Borá";"2010";"";"0,13";"";"";3507209
"Borá";"2019";"0,08";"";"";"";3507209
"Boracéia";"1991";"";"";"";"-0,24";3507308
"Boracéia";"2000";"";"";"0,85";"";3507308
"Boracéia";"2010";"";"1,33";"";"";3507308
"Boracéia";"2019";"1,11";"";"";"";3507308
"Borborema";"1991";"";"";"";"0,36";3507407
"Borborema";"2000";"";"";"0,95";"";3507407
"Borborema";"2010";"";"0,97";"";"";3507407
"Borborema";"2019";"0,55";"";"";"";3507407
"Borebi";"1991";"";"";"";"NA";3507456
"Borebi";"2000";"";"";"3,7";"";3507456
"Borebi";"2010";"";"1,74";"";"";3507456
"Borebi";"2019";"1,21";"";"";"";3507456
"Botucatu";"1991";"";"";"";"3,13";3507506
"Botucatu";"2000";"";"";"2,04";"";3507506
"Botucatu";"2010";"";"1,63";"";"";3507506
"Botucatu";"2019";"1,06";"";"";"";3507506
"Bragança Paulista";"1991";"";"";"";"2,36";3507605
"Bragança Paulista";"2000";"";"";"2,58";"";3507605
"Bragança Paulista";"2010";"";"1,62";"";"";3507605
"Bragança Paulista";"2019";"1,15";"";"";"";3507605
"Braúna";"1991";"";"";"";"-0,59";3507704
"Braúna";"2000";"";"";"0,29";"";3507704
"Braúna";"2010";"";"1,36";"";"";3507704
"Braúna";"2019";"1,03";"";"";"";3507704
"Brejo Alegre";"1991";"";"";"";"NA";3507753
"Brejo Alegre";"2000";"";"";"0,82";"";3507753
"Brejo Alegre";"2010";"";"1,09";"";"";3507753
"Brejo Alegre";"2019";"0,75";"";"";"";3507753
"Brodowski";"1991";"";"";"";"1,91";3507803
"Brodowski";"2000";"";"";"2,45";"";3507803
"Brodowski";"2010";"";"2,11";"";"";3507803
"Brodowski";"2019";"1,31";"";"";"";3507803
"Brotas";"1991";"";"";"";"2,26";3507902
"Brotas";"2000";"";"";"3,07";"";3507902
"Brotas";"2010";"";"1,36";"";"";3507902
"Brotas";"2019";"1,03";"";"";"";3507902
"Buri";"1991";"";"";"";"1,93";3508009
"Buri";"2000";"";"";"2,33";"";3508009
"Buri";"2010";"";"0,53";"";"";3508009
"Buri";"2019";"0,58";"";"";"";3508009
"Buritama";"1991";"";"";"";"0,86";3508108
"Buritama";"2000";"";"";"0,96";"";3508108
"Buritama";"2010";"";"1,07";"";"";3508108
"Buritama";"2019";"0,76";"";"";"";3508108
"Buritizal";"1991";"";"";"";"-0,17";3508207
"Buritizal";"2000";"";"";"-0,37";"";3508207
"Buritizal";"2010";"";"0,98";"";"";3508207
"Buritizal";"2019";"0,62";"";"";"";3508207
"Cabrália Paulista";"1991";"";"";"";"1,03";3508306
"Cabrália Paulista";"2000";"";"";"2,09";"";3508306
"Cabrália Paulista";"2010";"";"-0,62";"";"";3508306
"Cabrália Paulista";"2019";"-0,14";"";"";"";3508306
"Cabreúva";"1991";"";"";"";"4,38";3508405
"Cabreúva";"2000";"";"";"6,53";"";3508405
"Cabreúva";"2010";"";"2,35";"";"";3508405
"Cabreúva";"2019";"1,77";"";"";"";3508405
"Cachoeira Paulista";"1991";"";"";"";"1,08";3508603
"Cachoeira Paulista";"2000";"";"";"1,82";"";3508603
"Cachoeira Paulista";"2010";"";"1,02";"";"";3508603
"Cachoeira Paulista";"2019";"0,7";"";"";"";3508603
"Caconde";"1991";"";"";"";"0,46";3508702
"Caconde";"2000";"";"";"0,7";"";3508702
"Caconde";"2010";"";"0,09";"";"";3508702
"Caconde";"2019";"0,17";"";"";"";3508702
"Cafelândia";"1991";"";"";"";"-1,16";3508801
"Cafelândia";"2000";"";"";"0,27";"";3508801
"Cafelândia";"2010";"";"0,5";"";"";3508801
"Cafelândia";"2019";"0,38";"";"";"";3508801
"Caiabu";"1991";"";"";"";"0,39";3508900
"Caiabu";"2000";"";"";"0,63";"";3508900
"Caiabu";"2010";"";"-0,01";"";"";3508900
"Caiabu";"2019";"0,08";"";"";"";3508900
"Caieiras";"1991";"";"";"";"4,08";3509007
"Caieiras";"2000";"";"";"6,92";"";3509007
"Caieiras";"2010";"";"2,01";"";"";3509007
"Caieiras";"2019";"1,55";"";"";"";3509007
"Caiuá";"1991";"";"";"";"1,09";3509106
"Caiuá";"2000";"";"";"2,55";"";3509106
"Caiuá";"2010";"";"1,86";"";"";3509106
"Caiuá";"2019";"1,08";"";"";"";3509106
"Cajamar";"1991";"";"";"";"3,98";3509205
"Cajamar";"2000";"";"";"4,68";"";3509205
"Cajamar";"2010";"";"2,38";"";"";3509205
"Cajamar";"2019";"1,97";"";"";"";3509205
"Cajati";"1991";"";"";"";"NA";3509254
"Cajati";"2000";"";"";"2,12";"";3509254
"Cajati";"2010";"";"-0,28";"";"";3509254
"Cajati";"2019";"0,2";"";"";"";3509254
"Cajobi";"1991";"";"";"";"2,73";3509304
"Cajobi";"2000";"";"";"0,58";"";3509304
"Cajobi";"2010";"";"0,63";"";"";3509304
"Cajobi";"2019";"0,35";"";"";"";3509304
"Cajuru";"1991";"";"";"";"2,03";3509403
"Cajuru";"2000";"";"";"1,29";"";3509403
"Cajuru";"2010";"";"1,18";"";"";3509403
"Cajuru";"2019";"0,96";"";"";"";3509403
"Campina do Monte Alegre";"1991";"";"";"";"NA";3509452
"Campina do Monte Alegre";"2000";"";"";"3,29";"";3509452
"Campina do Monte Alegre";"2010";"";"0,69";"";"";3509452
"Campina do Monte Alegre";"2019";"0,44";"";"";"";3509452
"Campinas";"1991";"";"";"";"2,22";3509502
"Campinas";"2000";"";"";"1,54";"";3509502
"Campinas";"2010";"";"1,09";"";"";3509502
"Campinas";"2019";"0,88";"";"";"";3509502
"Campo Limpo Paulista";"1991";"";"";"";"6,86";3509601
"Campo Limpo Paulista";"2000";"";"";"3,92";"";3509601
"Campo Limpo Paulista";"2010";"";"1,54";"";"";3509601
"Campo Limpo Paulista";"2019";"1,15";"";"";"";3509601
"Campos do Jordão";"1991";"";"";"";"3,24";3509700
"Campos do Jordão";"2000";"";"";"2,03";"";3509700
"Campos do Jordão";"2010";"";"0,78";"";"";3509700
"Campos do Jordão";"2019";"0,49";"";"";"";3509700
"Campos Novos Paulista";"1991";"";"";"";"0,65";3509809
"Campos Novos Paulista";"2000";"";"";"0,45";"";3509809
"Campos Novos Paulista";"2010";"";"0,82";"";"";3509809
"Campos Novos Paulista";"2019";"0,6";"";"";"";3509809
"Cananéia";"1991";"";"";"";"2,5";3509908
"Cananéia";"2000";"";"";"3,1";"";3509908
"Cananéia";"2010";"";"-0,03";"";"";3509908
"Cananéia";"2019";"0,08";"";"";"";3509908
"Canas";"1991";"";"";"";"NA";3509957
"Canas";"2000";"";"";"3,05";"";3509957
"Canas";"2010";"";"1,96";"";"";3509957
"Canas";"2019";"1,48";"";"";"";3509957
"Cândido Mota";"1991";"";"";"";"2,31";3510005
"Cândido Mota";"2000";"";"";"1,6";"";3510005
"Cândido Mota";"2010";"";"0,22";"";"";3510005
"Cândido Mota";"2019";"0,05";"";"";"";3510005
"Cândido Rodrigues";"1991";"";"";"";"1,41";3510104
"Cândido Rodrigues";"2000";"";"";"1,31";"";3510104
"Cândido Rodrigues";"2010";"";"0,22";"";"";3510104
"Cândido Rodrigues";"2019";"0,02";"";"";"";3510104
"Canitar";"1991";"";"";"";"NA";3510153
"Canitar";"2000";"";"";"4,08";"";3510153
"Canitar";"2010";"";"2,31";"";"";3510153
"Canitar";"2019";"1,36";"";"";"";3510153
"Capão Bonito";"1991";"";"";"";"1,32";3510203
"Capão Bonito";"2000";"";"";"0,08";"";3510203
"Capão Bonito";"2010";"";"-0,12";"";"";3510203
"Capão Bonito";"2019";"0,04";"";"";"";3510203
"Capela do Alto";"1991";"";"";"";"3,48";3510302
"Capela do Alto";"2000";"";"";"3,19";"";3510302
"Capela do Alto";"2010";"";"2,11";"";"";3510302
"Capela do Alto";"2019";"1,62";"";"";"";3510302
"Capivari";"1991";"";"";"";"2,82";3510401
"Capivari";"2000";"";"";"2,2";"";3510401
"Capivari";"2010";"";"1,6";"";"";3510401
"Capivari";"2019";"1,13";"";"";"";3510401
"Caraguatatuba";"1991";"";"";"";"4,17";3510500
"Caraguatatuba";"2000";"";"";"4,56";"";3510500
"Caraguatatuba";"2010";"";"2,5";"";"";3510500
"Caraguatatuba";"2019";"1,46";"";"";"";3510500
"Carapicuíba";"1991";"";"";"";"3,92";3510609
"Carapicuíba";"2000";"";"";"2,24";"";3510609
"Carapicuíba";"2010";"";"0,72";"";"";3510609
"Carapicuíba";"2019";"0,67";"";"";"";3510609
"Cardoso";"1991";"";"";"";"0,19";3510708
"Cardoso";"2000";"";"";"-0,61";"";3510708
"Cardoso";"2010";"";"0,16";"";"";3510708
"Cardoso";"2019";"-0,07";"";"";"";3510708
"Casa Branca";"1991";"";"";"";"1,38";3510807
"Casa Branca";"2000";"";"";"0,67";"";3510807
"Casa Branca";"2010";"";"0,55";"";"";3510807
"Casa Branca";"2019";"0,41";"";"";"";3510807
"Cássia dos Coqueiros";"1991";"";"";"";"0,69";3510906
"Cássia dos Coqueiros";"2000";"";"";"0,61";"";3510906
"Cássia dos Coqueiros";"2010";"";"-0,85";"";"";3510906
"Cássia dos Coqueiros";"2019";"-0,56";"";"";"";3510906
