"Localidades";"Períodos";"Taxa Geométrica de Crescimento Anual da População - 2010/2019 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 2000/2010 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1991/2000 (Em % a.a.)";"Taxa Geométrica de Crescimento Anual da População - 1980/1991 (Em % a.a.)";"Cód. IBGE"
"Itaí";"2010";"";"1,33";"";"";3521804
"Itaí";"2019";"1,01";"";"";"";3521804
"Itajobi";"1991";"";"";"";"0,31";3521903
"Itajobi";"2000";"";"";"0,85";"";3521903
"Itajobi";"2010";"";"0,23";"";"";3521903
"Itajobi";"2019";"0,05";"";"";"";3521903
"Itaju";"1991";"";"";"";"-0,52";3522000
"Itaju";"2000";"";"";"1,23";"";3522000
"Itaju";"2010";"";"2,09";"";"";3522000
"Itaju";"2019";"1,22";"";"";"";3522000
"Itanhaém";"1991";"";"";"";"4,79";3522109
"Itanhaém";"2000";"";"";"5,15";"";3522109
"Itanhaém";"2010";"";"1,94";"";"";3522109
"Itanhaém";"2019";"1,29";"";"";"";3522109
"Itaóca";"1991";"";"";"";"NA";3522158
"Itaóca";"2000";"";"";"-2,17";"";3522158
"Itaóca";"2010";"";"-0,01";"";"";3522158
"Itaóca";"2019";"-0,15";"";"";"";3522158
"Itapecerica da Serra";"1991";"";"";"";"3,97";3522208
"Itapecerica da Serra";"2000";"";"";"4,79";"";3522208
"Itapecerica da Serra";"2010";"";"1,67";"";"";3522208
"Itapecerica da Serra";"2019";"1,08";"";"";"";3522208
"Itapetininga";"1991";"";"";"";"2,01";3522307
"Itapetininga";"2000";"";"";"2,37";"";3522307
"Itapetininga";"2010";"";"1,41";"";"";3522307
"Itapetininga";"2019";"1,06";"";"";"";3522307
"Itapeva";"1991";"";"";"";"2,04";3522406
"Itapeva";"2000";"";"";"1,35";"";3522406
"Itapeva";"2010";"";"0,58";"";"";3522406
"Itapeva";"2019";"0,44";"";"";"";3522406
"Itapevi";"1991";"";"";"";"6,6";3522505
"Itapevi";"2000";"";"";"4,72";"";3522505
"Itapevi";"2010";"";"2,16";"";"";3522505
"Itapevi";"2019";"1,73";"";"";"";3522505
"Itapira";"1991";"";"";"";"1,51";3522604
"Itapira";"2000";"";"";"1,3";"";3522604
"Itapira";"2010";"";"0,79";"";"";3522604
"Itapira";"2019";"0,44";"";"";"";3522604
"Itapirapuã Paulista";"1991";"";"";"";"NA";3522653
"Itapirapuã Paulista";"2000";"";"";"1,02";"";3522653
"Itapirapuã Paulista";"2010";"";"0,82";"";"";3522653
"Itapirapuã Paulista";"2019";"0,74";"";"";"";3522653
"Itápolis";"1991";"";"";"";"2,21";3522703
"Itápolis";"2000";"";"";"1,52";"";3522703
"Itápolis";"2010";"";"0,6";"";"";3522703
"Itápolis";"2019";"0,38";"";"";"";3522703
"Itaporanga";"1991";"";"";"";"-1,2";3522802
"Itaporanga";"2000";"";"";"-0,07";"";3522802
"Itaporanga";"2010";"";"0,13";"";"";3522802
"Itaporanga";"2019";"0,09";"";"";"";3522802
"Itapuí";"1991";"";"";"";"1,58";3522901
"Itapuí";"2000";"";"";"1,54";"";3522901
"Itapuí";"2010";"";"1,61";"";"";3522901
"Itapuí";"2019";"1,27";"";"";"";3522901
"Itapura";"1991";"";"";"";"1,46";3523008
"Itapura";"2000";"";"";"0,32";"";3523008
"Itapura";"2010";"";"1,27";"";"";3523008
"Itapura";"2019";"1,23";"";"";"";3523008
"Itaquaquecetuba";"1991";"";"";"";"7,67";3523107
"Itaquaquecetuba";"2000";"";"";"5,86";"";3523107
"Itaquaquecetuba";"2010";"";"1,69";"";"";3523107
"Itaquaquecetuba";"2019";"1,44";"";"";"";3523107
"Itararé";"1991";"";"";"";"1,44";3523206
"Itararé";"2000";"";"";"1,2";"";3523206
"Itararé";"2010";"";"0,3";"";"";3523206
"Itararé";"2019";"0,22";"";"";"";3523206
"Itariri";"1991";"";"";"";"1,86";3523305
"Itariri";"2000";"";"";"1,83";"";3523305
"Itariri";"2010";"";"1,29";"";"";3523305
"Itariri";"2019";"1,12";"";"";"";3523305
"Itatiba";"1991";"";"";"";"3,62";3523404
"Itatiba";"2000";"";"";"3,15";"";3523404
"Itatiba";"2010";"";"2,26";"";"";3523404
"Itatiba";"2019";"1,55";"";"";"";3523404
"Itatinga";"1991";"";"";"";"3,73";3523503
"Itatinga";"2000";"";"";"1,33";"";3523503
"Itatinga";"2010";"";"1,57";"";"";3523503
"Itatinga";"2019";"1,32";"";"";"";3523503
"Itirapina";"1991";"";"";"";"3,31";3523602
"Itirapina";"2000";"";"";"2,94";"";3523602
"Itirapina";"2010";"";"1,93";"";"";3523602
"Itirapina";"2019";"1,03";"";"";"";3523602
"Itirapuã";"1991";"";"";"";"0,22";3523701
"Itirapuã";"2000";"";"";"0,77";"";3523701
"Itirapuã";"2010";"";"0,89";"";"";3523701
"Itirapuã";"2019";"0,61";"";"";"";3523701
"Itobi";"1991";"";"";"";"1,53";3523800
"Itobi";"2000";"";"";"1,09";"";3523800
"Itobi";"2010";"";"0,11";"";"";3523800
"Itobi";"2019";"0,09";"";"";"";3523800
"Itu";"1991";"";"";"";"3,39";3523909
"Itu";"2000";"";"";"2,67";"";3523909
"Itu";"2010";"";"1,32";"";"";3523909
"Itu";"2019";"0,99";"";"";"";3523909
"Itupeva";"1991";"";"";"";"5,34";3524006
"Itupeva";"2000";"";"";"4,25";"";3524006
"Itupeva";"2010";"";"5,53";"";"";3524006
"Itupeva";"2019";"2,89";"";"";"";3524006
"Ituverava";"1991";"";"";"";"1,68";3524105
"Ituverava";"2000";"";"";"1,06";"";3524105
"Ituverava";"2010";"";"0,65";"";"";3524105
"Ituverava";"2019";"0,4";"";"";"";3524105
"Jaborandi";"1991";"";"";"";"1,37";3524204
"Jaborandi";"2000";"";"";"0,18";"";3524204
"Jaborandi";"2010";"";"0,26";"";"";3524204
"Jaborandi";"2019";"0,13";"";"";"";3524204
"Jaboticabal";"1991";"";"";"";"2,11";3524303
"Jaboticabal";"2000";"";"";"1,49";"";3524303
"Jaboticabal";"2010";"";"0,62";"";"";3524303
"Jaboticabal";"2019";"0,36";"";"";"";3524303
"Jacareí";"1991";"";"";"";"3,21";3524402
"Jacareí";"2000";"";"";"1,78";"";3524402
"Jacareí";"2010";"";"1";"";"";3524402
"Jacareí";"2019";"0,78";"";"";"";3524402
"Jaci";"1991";"";"";"";"-1,45";3524501
"Jaci";"2000";"";"";"2,64";"";3524501
"Jaci";"2010";"";"3,22";"";"";3524501
"Jaci";"2019";"2,16";"";"";"";3524501
"Jacupiranga";"1991";"";"";"";"2,9";3524600
"Jacupiranga";"2000";"";"";"1,59";"";3524600
"Jacupiranga";"2010";"";"0,11";"";"";3524600
"Jacupiranga";"2019";"0";"";"";"";3524600
"Jaguariúna";"1991";"";"";"";"4,62";3524709
"Jaguariúna";"2000";"";"";"2,64";"";3524709
"Jaguariúna";"2010";"";"4,11";"";"";3524709
"Jaguariúna";"2019";"2,24";"";"";"";3524709
"Jales";"1991";"";"";"";"1,6";3524808
"Jales";"2000";"";"";"1,28";"";3524808
"Jales";"2010";"";"0,19";"";"";3524808
"Jales";"2019";"0,05";"";"";"";3524808
"Jambeiro";"1991";"";"";"";"1,22";3524907
"Jambeiro";"2000";"";"";"2,19";"";3524907
"Jambeiro";"2010";"";"2,96";"";"";3524907
"Jambeiro";"2019";"1,57";"";"";"";3524907
"Jandira";"1991";"";"";"";"5,14";3525003
"Jandira";"2000";"";"";"4,4";"";3525003
"Jandira";"2010";"";"1,69";"";"";3525003
"Jandira";"2019";"1,35";"";"";"";3525003
"Jardinópolis";"1991";"";"";"";"1,87";3525102
"Jardinópolis";"2000";"";"";"2,73";"";3525102
"Jardinópolis";"2010";"";"2,06";"";"";3525102
"Jardinópolis";"2019";"1,35";"";"";"";3525102
"Jarinu";"1991";"";"";"";"5,24";3525201
"Jarinu";"2000";"";"";"5,15";"";3525201
"Jarinu";"2010";"";"3,43";"";"";3525201
"Jarinu";"2019";"2,32";"";"";"";3525201
"Jaú";"1991";"";"";"";"2,21";3525300
"Jaú";"2000";"";"";"1,98";"";3525300
"Jaú";"2010";"";"1,58";"";"";3525300
"Jaú";"2019";"1,22";"";"";"";3525300
"Jeriquara";"1991";"";"";"";"2,16";3525409
"Jeriquara";"2000";"";"";"0,14";"";3525409
"Jeriquara";"2010";"";"-0,37";"";"";3525409
"Jeriquara";"2019";"-0,06";"";"";"";3525409
"Joanópolis";"1991";"";"";"";"0,5";3525508
"Joanópolis";"2000";"";"";"2,69";"";3525508
"Joanópolis";"2010";"";"1,25";"";"";3525508
"Joanópolis";"2019";"0,76";"";"";"";3525508
"João Ramalho";"1991";"";"";"";"0,62";3525607
"João Ramalho";"2000";"";"";"2,56";"";3525607
"João Ramalho";"2010";"";"0,79";"";"";3525607
"João Ramalho";"2019";"0,56";"";"";"";3525607
"José Bonifácio";"1991";"";"";"";"1,29";3525706
"José Bonifácio";"2000";"";"";"2,19";"";3525706
"José Bonifácio";"2010";"";"1,34";"";"";3525706
"José Bonifácio";"2019";"0,96";"";"";"";3525706
"Júlio Mesquita";"1991";"";"";"";"-1,58";3525805
"Júlio Mesquita";"2000";"";"";"0,84";"";3525805
"Júlio Mesquita";"2010";"";"0,62";"";"";3525805
"Júlio Mesquita";"2019";"0,47";"";"";"";3525805
"Jumirim";"1991";"";"";"";"NA";3525854
"Jumirim";"2000";"";"";"3,31";"";3525854
"Jumirim";"2010";"";"2,46";"";"";3525854
"Jumirim";"2019";"1,73";"";"";"";3525854
"Jundiaí";"1991";"";"";"";"1";3525904
"Jundiaí";"2000";"";"";"1,28";"";3525904
"Jundiaí";"2010";"";"1,36";"";"";3525904
"Jundiaí";"2019";"0,98";"";"";"";3525904
"Junqueirópolis";"1991";"";"";"";"-1,7";3526001
"Junqueirópolis";"2000";"";"";"-0,48";"";3526001
"Junqueirópolis";"2010";"";"0,96";"";"";3526001
"Junqueirópolis";"2019";"0,7";"";"";"";3526001
"Juquiá";"1991";"";"";"";"1,03";3526100
"Juquiá";"2000";"";"";"2,12";"";3526100
"Juquiá";"2010";"";"-0,61";"";"";3526100
"Juquiá";"2019";"-0,24";"";"";"";3526100
"Juquitiba";"1991";"";"";"";"4,31";3526209
"Juquitiba";"2000";"";"";"3,28";"";3526209
"Juquitiba";"2010";"";"0,85";"";"";3526209
"Juquitiba";"2019";"0,57";"";"";"";3526209
"Lagoinha";"1991";"";"";"";"0,39";3526308
"Lagoinha";"2000";"";"";"0,74";"";3526308
"Lagoinha";"2010";"";"-0,23";"";"";3526308
"Lagoinha";"2019";"-0,05";"";"";"";3526308
"Laranjal Paulista";"1991";"";"";"";"2,12";3526407
"Laranjal Paulista";"2000";"";"";"1,67";"";3526407
"Laranjal Paulista";"2010";"";"1,32";"";"";3526407
"Laranjal Paulista";"2019";"1";"";"";"";3526407
"Lavínia";"1991";"";"";"";"-1,06";3526506
"Lavínia";"2000";"";"";"-0,66";"";3526506
"Lavínia";"2010";"";"5,46";"";"";3526506
"Lavínia";"2019";"-0,28";"";"";"";3526506
"Lavrinhas";"1991";"";"";"";"2,23";3526605
"Lavrinhas";"2000";"";"";"2,84";"";3526605
"Lavrinhas";"2010";"";"0,94";"";"";3526605
"Lavrinhas";"2019";"0,85";"";"";"";3526605
"Leme";"1991";"";"";"";"3,59";3526704
"Leme";"2000";"";"";"1,94";"";3526704
"Leme";"2010";"";"1,29";"";"";3526704
"Leme";"2019";"0,98";"";"";"";3526704
"Lençóis Paulista";"1991";"";"";"";"2,55";3526803
"Lençóis Paulista";"2000";"";"";"2,34";"";3526803
"Lençóis Paulista";"2010";"";"1,11";"";"";3526803
"Lençóis Paulista";"2019";"0,79";"";"";"";3526803
"Limeira";"1991";"";"";"";"2,96";3526902
"Limeira";"2000";"";"";"2,09";"";3526902
"Limeira";"2010";"";"1,04";"";"";3526902
"Limeira";"2019";"0,73";"";"";"";3526902
"Lindóia";"1991";"";"";"";"2,31";3527009
"Lindóia";"2000";"";"";"2,91";"";3527009
"Lindóia";"2010";"";"2,34";"";"";3527009
"Lindóia";"2019";"1,46";"";"";"";3527009
"Lins";"1991";"";"";"";"1,36";3527108
"Lins";"2000";"";"";"1,22";"";3527108
"Lins";"2010";"";"0,8";"";"";3527108
"Lins";"2019";"0,52";"";"";"";3527108
"Lorena";"1991";"";"";"";"2,24";3527207
"Lorena";"2000";"";"";"1,17";"";3527207
"Lorena";"2010";"";"0,57";"";"";3527207
"Lorena";"2019";"0,49";"";"";"";3527207
"Lourdes";"1991";"";"";"";"NA";3527256
"Lourdes";"2000";"";"";"2,08";"";3527256
"Lourdes";"2010";"";"0,6";"";"";3527256
"Lourdes";"2019";"0,27";"";"";"";3527256
"Louveira";"1991";"";"";"";"4,21";3527306
"Louveira";"2000";"";"";"4,42";"";3527306
"Louveira";"2010";"";"4,5";"";"";3527306
"Louveira";"2019";"2,75";"";"";"";3527306
"Lucélia";"1991";"";"";"";"0,27";3527405
"Lucélia";"2000";"";"";"0,36";"";3527405
"Lucélia";"2010";"";"0,82";"";"";3527405
"Lucélia";"2019";"0,57";"";"";"";3527405
"Lucianópolis";"1991";"";"";"";"-1,07";3527504
"Lucianópolis";"2000";"";"";"-0,91";"";3527504
"Lucianópolis";"2010";"";"0,42";"";"";3527504
"Lucianópolis";"2019";"0,05";"";"";"";3527504
"Luís Antônio";"1991";"";"";"";"6,46";3527603
"Luís Antônio";"2000";"";"";"2,39";"";3527603
"Luís Antônio";"2010";"";"4,64";"";"";3527603
"Luís Antônio";"2019";"2,39";"";"";"";3527603
"Luiziânia";"1991";"";"";"";"0,71";3527702
"Luiziânia";"2000";"";"";"0,32";"";3527702
"Luiziânia";"2010";"";"1,63";"";"";3527702
"Luiziânia";"2019";"1,38";"";"";"";3527702
"Lupércio";"1991";"";"";"";"1,38";3527801
"Lupércio";"2000";"";"";"0,45";"";3527801
"Lupércio";"2010";"";"0,29";"";"";3527801
"Lupércio";"2019";"0,16";"";"";"";3527801
"Lutécia";"1991";"";"";"";"-1,15";3527900
"Lutécia";"2000";"";"";"1";"";3527900
"Lutécia";"2010";"";"-0,64";"";"";3527900
"Lutécia";"2019";"-0,36";"";"";"";3527900
"Macatuba";"1991";"";"";"";"1,97";3528007
"Macatuba";"2000";"";"";"1,78";"";3528007
"Macatuba";"2010";"";"0,33";"";"";3528007
"Macatuba";"2019";"0,41";"";"";"";3528007
"Macaubal";"1991";"";"";"";"1,33";3528106
"Macaubal";"2000";"";"";"0,02";"";3528106
"Macaubal";"2010";"";"0,37";"";"";3528106
"Macaubal";"2019";"0,12";"";"";"";3528106
"Macedônia";"1991";"";"";"";"-0,55";3528205
"Macedônia";"2000";"";"";"-0,55";"";3528205
"Macedônia";"2010";"";"-0,26";"";"";3528205
"Macedônia";"2019";"-0,25";"";"";"";3528205
"Magda";"1991";"";"";"";"0,28";3528304
"Magda";"2000";"";"";"-0,79";"";3528304
"Magda";"2010";"";"-0,67";"";"";3528304
"Magda";"2019";"-0,36";"";"";"";3528304
"Mairinque";"1991";"";"";"";"3,1";3528403
"Mairinque";"2000";"";"";"3,52";"";3528403
"Mairinque";"2010";"";"0,81";"";"";3528403
"Mairinque";"2019";"0,71";"";"";"";3528403
"Mairiporã";"1991";"";"";"";"3,44";3528502
"Mairiporã";"2000";"";"";"4,67";"";3528502
"Mairiporã";"2010";"";"3,04";"";"";3528502
"Mairiporã";"2019";"2,04";"";"";"";3528502
"Manduri";"1991";"";"";"";"2,81";3528601
"Manduri";"2000";"";"";"1,47";"";3528601
"Manduri";"2010";"";"0,84";"";"";3528601
"Manduri";"2019";"0,59";"";"";"";3528601
"Marabá Paulista";"1991";"";"";"";"-0,91";3528700
"Marabá Paulista";"2000";"";"";"0,59";"";3528700
"Marabá Paulista";"2010";"";"2,65";"";"";3528700
"Marabá Paulista";"2019";"0,27";"";"";"";3528700
"Maracaí";"1991";"";"";"";"1,95";3528809
"Maracaí";"2000";"";"";"0,52";"";3528809
"Maracaí";"2010";"";"0,25";"";"";3528809
"Maracaí";"2019";"0,15";"";"";"";3528809
"Marapoama";"1991";"";"";"";"NA";3528858
"Marapoama";"2000";"";"";"2,22";"";3528858
"Marapoama";"2010";"";"1,64";"";"";3528858
"Marapoama";"2019";"1,02";"";"";"";3528858
"Mariápolis";"1991";"";"";"";"-1,82";3528908
"Mariápolis";"2000";"";"";"-1,37";"";3528908
"Mariápolis";"2010";"";"0,15";"";"";3528908
"Mariápolis";"2019";"0,15";"";"";"";3528908
"Marília";"1991";"";"";"";"2,56";3529005
"Marília";"2000";"";"";"2,32";"";3529005
"Marília";"2010";"";"0,95";"";"";3529005
"Marília";"2019";"0,68";"";"";"";3529005
"Marinópolis";"1991";"";"";"";"0,11";3529104
"Marinópolis";"2000";"";"";"0,55";"";3529104
"Marinópolis";"2010";"";"-0,37";"";"";3529104
"Marinópolis";"2019";"-0,08";"";"";"";3529104
"Martinópolis";"1991";"";"";"";"0";3529203
"Martinópolis";"2000";"";"";"1,41";"";3529203
"Martinópolis";"2010";"";"0,81";"";"";3529203
"Martinópolis";"2019";"0,59";"";"";"";3529203
"Matão";"1991";"";"";"";"4,77";3529302
"Matão";"2000";"";"";"1,42";"";3529302
"Matão";"2010";"";"0,69";"";"";3529302
"Matão";"2019";"0,43";"";"";"";3529302
"Mauá";"1991";"";"";"";"3,32";3529401
"Mauá";"2000";"";"";"2,4";"";3529401
"Mauá";"2010";"";"1,4";"";"";3529401
"Mauá";"2019";"1,01";"";"";"";3529401
"Mendonça";"1991";"";"";"";"-1,28";3529500
"Mendonça";"2000";"";"";"0,84";"";3529500
"Mendonça";"2010";"";"2,12";"";"";3529500
"Mendonça";"2019";"0,87";"";"";"";3529500
"Meridiano";"1991";"";"";"";"0,06";3529609
"Meridiano";"2000";"";"";"0,67";"";3529609
"Meridiano";"2010";"";"-0,42";"";"";3529609
"Meridiano";"2019";"-0,31";"";"";"";3529609
"Mesópolis";"1991";"";"";"";"NA";3529658
"Mesópolis";"2000";"";"";"-0,45";"";3529658
"Mesópolis";"2010";"";"-0,24";"";"";3529658
"Mesópolis";"2019";"0,04";"";"";"";3529658
"Miguelópolis";"1991";"";"";"";"2,31";3529708
"Miguelópolis";"2000";"";"";"1,01";"";3529708
"Miguelópolis";"2010";"";"0,73";"";"";3529708
"Miguelópolis";"2019";"0,48";"";"";"";3529708
"Mineiros do Tietê";"1991";"";"";"";"3,19";3529807
"Mineiros do Tietê";"2000";"";"";"2,14";"";3529807
"Mineiros do Tietê";"2010";"";"0,55";"";"";3529807
"Mineiros do Tietê";"2019";"0,46";"";"";"";3529807
"Mira Estrela";"1991";"";"";"";"0,8";3530003
"Mira Estrela";"2000";"";"";"-0,28";"";3530003
"Mira Estrela";"2010";"";"0,82";"";"";3530003
"Mira Estrela";"2019";"0,43";"";"";"";3530003
"Miracatu";"1991";"";"";"";"0,8";3529906
"Miracatu";"2000";"";"";"1,86";"";3529906
"Miracatu";"2010";"";"-0,81";"";"";3529906
"Miracatu";"2019";"-0,36";"";"";"";3529906
"Mirandópolis";"1991";"";"";"";"1,16";3530102
"Mirandópolis";"2000";"";"";"0,68";"";3530102
"Mirandópolis";"2010";"";"0,58";"";"";3530102
"Mirandópolis";"2019";"0,43";"";"";"";3530102
"Mirante do Paranapanema";"1991";"";"";"";"-0,17";3530201
"Mirante do Paranapanema";"2000";"";"";"0,73";"";3530201
"Mirante do Paranapanema";"2010";"";"0,51";"";"";3530201
"Mirante do Paranapanema";"2019";"0,42";"";"";"";3530201
"Mirassol";"1991";"";"";"";"3,02";3530300
"Mirassol";"2000";"";"";"2,36";"";3530300
"Mirassol";"2010";"";"1,09";"";"";3530300
"Mirassol";"2019";"0,74";"";"";"";3530300
"Mirassolândia";"1991";"";"";"";"1,02";3530409
"Mirassolândia";"2000";"";"";"2,4";"";3530409
"Mirassolândia";"2010";"";"1,4";"";"";3530409
"Mirassolândia";"2019";"0,93";"";"";"";3530409
"Mococa";"1991";"";"";"";"1,93";3530508
"Mococa";"2000";"";"";"1,31";"";3530508
"Mococa";"2010";"";"0,12";"";"";3530508
"Mococa";"2019";"0,07";"";"";"";3530508
"Mogi das Cruzes";"1991";"";"";"";"2,97";3530607
"Mogi das Cruzes";"2000";"";"";"2,16";"";3530607
"Mogi das Cruzes";"2010";"";"1,62";"";"";3530607
"Mogi das Cruzes";"2019";"1,13";"";"";"";3530607
"Mogi Guaçu";"1991";"";"";"";"3,51";3530706
"Mogi Guaçu";"2000";"";"";"2,39";"";3530706
"Mogi Guaçu";"2010";"";"1,01";"";"";3530706
"Mogi Guaçu";"2019";"0,79";"";"";"";3530706
"Mogi Mirim";"1991";"";"";"";"2,26";3530805
"Mogi Mirim";"2000";"";"";"2,6";"";3530805
"Mogi Mirim";"2010";"";"0,62";"";"";3530805
"Mogi Mirim";"2019";"0,46";"";"";"";3530805
"Mombuca";"1991";"";"";"";"-0,21";3530904
"Mombuca";"2000";"";"";"1,99";"";3530904
"Mombuca";"2010";"";"0,51";"";"";3530904
"Mombuca";"2019";"0,21";"";"";"";3530904
"Mongaguá";"1991";"";"";"";"6,06";3531100
"Mongaguá";"2000";"";"";"7,13";"";3531100
"Mongaguá";"2010";"";"2,84";"";"";3531100
"Mongaguá";"2019";"1,71";"";"";"";3531100
"Monte Alegre do Sul";"1991";"";"";"";"1,01";3531209
"Monte Alegre do Sul";"2000";"";"";"1,7";"";3531209
"Monte Alegre do Sul";"2010";"";"1,25";"";"";3531209
"Monte Alegre do Sul";"2019";"0,83";"";"";"";3531209
"Monte Alto";"1991";"";"";"";"2,22";3531308
"Monte Alto";"2000";"";"";"1,07";"";3531308
"Monte Alto";"2010";"";"0,68";"";"";3531308
"Monte Alto";"2019";"0,38";"";"";"";3531308
"Monte Aprazível";"1991";"";"";"";"0,57";3531407
"Monte Aprazível";"2000";"";"";"0,56";"";3531407
"Monte Aprazível";"2010";"";"1,67";"";"";3531407
"Monte Aprazível";"2019";"0,79";"";"";"";3531407
"Monte Azul Paulista";"1991";"";"";"";"2,84";3531506
"Monte Azul Paulista";"2000";"";"";"1,15";"";3531506
"Monte Azul Paulista";"2010";"";"-0,31";"";"";3531506
"Monte Azul Paulista";"2019";"-0,4";"";"";"";3531506
"Monte Castelo";"1991";"";"";"";"-2,32";3531605
"Monte Castelo";"2000";"";"";"-1,62";"";3531605
"Monte Castelo";"2010";"";"-0,08";"";"";3531605
"Monte Castelo";"2019";"-0,18";"";"";"";3531605
"Monte Mor";"1991";"";"";"";"5,59";3531803
"Monte Mor";"2000";"";"";"4,38";"";3531803
"Monte Mor";"2010";"";"2,76";"";"";3531803
"Monte Mor";"2019";"2,03";"";"";"";3531803
"Monteiro Lobato";"1991";"";"";"";"2,08";3531704
"Monteiro Lobato";"2000";"";"";"0,8";"";3531704
"Monteiro Lobato";"2010";"";"1,31";"";"";3531704
"Monteiro Lobato";"2019";"0,82";"";"";"";3531704
"Monções";"1991";"";"";"";"-1,13";3531001
"Monções";"2000";"";"";"-0,35";"";3531001
"Monções";"2010";"";"0,36";"";"";3531001
"Monções";"2019";"0,21";"";"";"";3531001
"Morro Agudo";"1991";"";"";"";"1,81";3531902
"Morro Agudo";"2000";"";"";"2,03";"";3531902
"Morro Agudo";"2010";"";"1,37";"";"";3531902
"Morro Agudo";"2019";"1,07";"";"";"";3531902
"Morungaba";"1991";"";"";"";"2,1";3532009
"Morungaba";"2000";"";"";"2,14";"";3532009
"Morungaba";"2010";"";"1,74";"";"";3532009
"Morungaba";"2019";"1,21";"";"";"";3532009
"Motuca";"1991";"";"";"";"NA";3532058
"Motuca";"2000";"";"";"1,58";"";3532058
"Motuca";"2010";"";"1,04";"";"";3532058
"Motuca";"2019";"0,8";"";"";"";3532058
"Murutinga do Sul";"1991";"";"";"";"-1,67";3532108
"Murutinga do Sul";"2000";"";"";"0,5";"";3532108
"Murutinga do Sul";"2010";"";"0,53";"";"";3532108
"Murutinga do Sul";"2019";"0,23";"";"";"";3532108
"Nantes";"1991";"";"";"";"NA";3532157
"Nantes";"2000";"";"";"-1,81";"";3532157
"Nantes";"2010";"";"1,75";"";"";3532157
"Nantes";"2019";"1,3";"";"";"";3532157
"Narandiba";"1991";"";"";"";"-1,02";3532207
"Narandiba";"2000";"";"";"1,94";"";3532207
"Narandiba";"2010";"";"1,37";"";"";3532207
"Narandiba";"2019";"1,23";"";"";"";3532207
"Natividade da Serra";"1991";"";"";"";"-0,58";3532306
"Natividade da Serra";"2000";"";"";"0,8";"";3532306
"Natividade da Serra";"2010";"";"-0,39";"";"";3532306
"Natividade da Serra";"2019";"0,02";"";"";"";3532306
"Nazaré Paulista";"1991";"";"";"";"3";3532405
"Nazaré Paulista";"2000";"";"";"2,42";"";3532405
"Nazaré Paulista";"2010";"";"1,32";"";"";3532405
"Nazaré Paulista";"2019";"1,19";"";"";"";3532405
"Neves Paulista";"1991";"";"";"";"0,57";3532504
"Neves Paulista";"2000";"";"";"0,76";"";3532504
"Neves Paulista";"2010";"";"-0,14";"";"";3532504
"Neves Paulista";"2019";"-0,17";"";"";"";3532504
"Nhandeara";"1991";"";"";"";"0,13";3532603
"Nhandeara";"2000";"";"";"-0,18";"";3532603
"Nhandeara";"2010";"";"0,5";"";"";3532603
"Nhandeara";"2019";"0,07";"";"";"";3532603
"Nipoã";"1991";"";"";"";"0,2";3532702
"Nipoã";"2000";"";"";"1,78";"";3532702
"Nipoã";"2010";"";"2,71";"";"";3532702
"Nipoã";"2019";"1,57";"";"";"";3532702
"Nova Aliança";"1991";"";"";"";"-0,18";3532801
"Nova Aliança";"2000";"";"";"1,41";"";3532801
"Nova Aliança";"2010";"";"2,13";"";"";3532801
"Nova Aliança";"2019";"0,94";"";"";"";3532801
"Nova Campina";"1991";"";"";"";"NA";3532827
"Nova Campina";"2000";"";"";"3,8";"";3532827
"Nova Campina";"2010";"";"1,58";"";"";3532827
"Nova Campina";"2019";"1,3";"";"";"";3532827
"Nova Canaã Paulista";"1991";"";"";"";"NA";3532843
"Nova Canaã Paulista";"2000";"";"";"-1,15";"";3532843
"Nova Canaã Paulista";"2010";"";"-1,59";"";"";3532843
"Nova Canaã Paulista";"2019";"-0,89";"";"";"";3532843
"Nova Castilho";"1991";"";"";"";"NA";3532868
"Nova Castilho";"2000";"";"";"1,13";"";3532868
"Nova Castilho";"2010";"";"1,28";"";"";3532868
"Nova Castilho";"2019";"0,47";"";"";"";3532868
"Nova Europa";"1991";"";"";"";"1,62";3532900
"Nova Europa";"2000";"";"";"3,45";"";3532900
"Nova Europa";"2010";"";"2,45";"";"";3532900
"Nova Europa";"2019";"1,49";"";"";"";3532900
"Nova Granada";"1991";"";"";"";"2,41";3533007
"Nova Granada";"2000";"";"";"1,54";"";3533007
"Nova Granada";"2010";"";"1,21";"";"";3533007
"Nova Granada";"2019";"0,89";"";"";"";3533007
"Nova Guataporanga";"1991";"";"";"";"-2,19";3533106
"Nova Guataporanga";"2000";"";"";"-0,28";"";3533106
"Nova Guataporanga";"2010";"";"0,42";"";"";3533106
"Nova Guataporanga";"2019";"0,07";"";"";"";3533106
"Nova Independência";"1991";"";"";"";"0,6";3533205
"Nova Independência";"2000";"";"";"0,38";"";3533205
"Nova Independência";"2010";"";"4,02";"";"";3533205
"Nova Independência";"2019";"2,04";"";"";"";3533205
"Nova Luzitânia";"1991";"";"";"";"2,73";3533304
"Nova Luzitânia";"2000";"";"";"0,46";"";3533304
"Nova Luzitânia";"2010";"";"2,26";"";"";3533304
"Nova Luzitânia";"2019";"1,68";"";"";"";3533304
"Nova Odessa";"1991";"";"";"";"4,11";3533403
"Nova Odessa";"2000";"";"";"2,41";"";3533403
"Nova Odessa";"2010";"";"2";"";"";3533403
"Nova Odessa";"2019";"1,29";"";"";"";3533403
