"Localidades";"Períodos";"Matrículas na Educação Infantil ";"Matrículas na Educação Infantil - Rede Municipal ";"Matrículas na Educação Infantil - Rede Particular ";"Matrículas no Ensino Fundamental ";"Matrículas no Ensino Fundamental - Rede Estadual ";"Matrículas no Ensino Fundamental - Rede Municipal ";"Matrículas no Ensino Fundamental - Rede Privada ";"Matrículas no Ensino Médio ";"Matrículas no Ensino Médio - Rede Estadual ";"Matrículas no Ensino Médio - Rede Municipal ";"Matrículas no Ensino Médio - Rede Particular ";"Matrículas na Educação Especial ";"Matrículas na Educação Especial - Rede Estadual ";"Matrículas na Educação Especial - Rede Municipal ";"Matrículas na Educação Especial - Rede Particular ";"Cód. IBGE"
"Holambra";"2015";"901";"673";"228";"1996";"-";"1527";"469";"604";"499";"-";"105";"80";"2";"75";"3";3519055
"Holambra";"2016";"916";"697";"219";"2010";"-";"1502";"508";"644";"521";"-";"123";"69";"-";"63";"6";3519055
"Holambra";"2017";"919";"721";"198";"2026";"-";"1485";"541";"644";"523";"-";"121";"118";"11";"104";"3";3519055
"Holambra";"2018";"959";"737";"222";"2067";"";"1544";"523";"653";"504";"";"149";"121";"20";"93";"8";3519055
"Hortolândia";"2014";"11289";"10187";"1102";"28516";"11749";"11478";"5289";"10105";"9061";"-";"1044";"98";"-";"98";"-";3519071
"Hortolândia";"2015";"11353";"10241";"1112";"28203";"10785";"11758";"5660";"9592";"8511";"-";"1081";"677";"317";"299";"61";3519071
"Hortolândia";"2016";"12206";"11267";"939";"28769";"10078";"12675";"6016";"10283";"8972";"-";"1191";"884";"386";"432";"65";3519071
"Hortolândia";"2017";"11948";"11073";"875";"28680";"9408";"13127";"6145";"9822";"8472";"-";"1140";"938";"387";"473";"78";3519071
"Hortolândia";"2018";"12352";"11379";"973";"29408";"9587";"13399";"6422";"9487";"8041";"";"1156";"925";"397";"441";"84";3519071
"Iacanga";"2014";"435";"311";"124";"1335";"304";"857";"174";"368";"368";"-";"-";"20";"-";"-";"20";3519105
"Iacanga";"2015";"449";"342";"107";"1318";"161";"949";"208";"362";"362";"-";"-";"44";"-";"8";"36";3519105
"Iacanga";"2016";"468";"372";"96";"1324";"35";"1116";"173";"368";"368";"-";"-";"49";"-";"14";"35";3519105
"Iacanga";"2017";"482";"388";"94";"1323";"21";"1118";"184";"347";"347";"-";"-";"48";"1";"13";"34";3519105
"Iacanga";"2018";"480";"446";"34";"1368";"61";"1132";"175";"297";"297";"";"";"54";"2";"16";"36";3519105
"Iacri";"2014";"218";"218";"-";"661";"597";"64";"-";"199";"199";"-";"-";"-";"-";"-";"-";3519204
"Iacri";"2015";"221";"221";"-";"659";"588";"71";"-";"208";"208";"-";"-";"14";"14";"-";"-";3519204
"Iacri";"2016";"195";"195";"-";"667";"578";"89";"-";"201";"201";"-";"-";"16";"15";"1";"-";3519204
"Iacri";"2017";"222";"222";"-";"627";"558";"69";"-";"195";"195";"-";"-";"20";"18";"2";"-";3519204
"Iacri";"2018";"221";"221";"";"661";"590";"71";"";"151";"151";"";"";"23";"22";"1";"";3519204
"Iaras";"2014";"285";"285";"-";"1033";"209";"824";"-";"399";"399";"-";"-";"-";"-";"-";"-";3519253
"Iaras";"2015";"279";"279";"-";"1000";"200";"800";"-";"391";"391";"-";"-";"23";"5";"18";"-";3519253
"Iaras";"2016";"260";"260";"-";"1045";"230";"815";"-";"412";"412";"-";"-";"34";"17";"17";"-";3519253
"Iaras";"2017";"286";"286";"-";"994";"204";"790";"-";"382";"382";"-";"-";"32";"19";"13";"-";3519253
"Iaras";"2018";"287";"287";"";"944";"147";"797";"";"391";"391";"";"";"30";"20";"10";"";3519253
"Ibaté";"2014";"1649";"1602";"47";"4402";"1942";"2338";"122";"1445";"1402";"-";"43";"130";"-";"-";"130";3519303
"Ibaté";"2015";"1664";"1620";"44";"4320";"1862";"2302";"156";"1421";"1393";"-";"28";"181";"33";"30";"118";3519303
"Ibaté";"2016";"1688";"1646";"42";"4281";"1859";"2267";"155";"1461";"1437";"-";"24";"180";"26";"35";"119";3519303
"Ibaté";"2017";"1690";"1658";"32";"4306";"1760";"2395";"151";"1373";"1357";"-";"16";"190";"35";"49";"106";3519303
"Ibaté";"2018";"1744";"1715";"29";"4327";"1753";"2384";"190";"1271";"1257";"";"14";"204";"41";"59";"104";3519303
"Ibirá";"2014";"483";"427";"56";"1204";"-";"1172";"32";"312";"312";"-";"-";"-";"-";"-";"-";3519402
"Ibirá";"2015";"464";"435";"29";"1203";"-";"1174";"29";"279";"279";"-";"-";"26";"-";"26";"-";3519402
"Ibirá";"2016";"511";"474";"37";"1196";"-";"1159";"37";"281";"281";"-";"-";"29";"-";"29";"-";3519402
"Ibirá";"2017";"490";"460";"30";"1231";"-";"1195";"36";"269";"269";"-";"-";"36";"2";"34";"-";3519402
"Ibirá";"2018";"509";"484";"25";"1226";"";"1204";"22";"260";"260";"";"";"31";"4";"27";"";3519402
"Ibirarema";"2014";"304";"304";"-";"804";"397";"407";"-";"201";"201";"-";"-";"-";"-";"-";"-";3519501
"Ibirarema";"2015";"319";"319";"-";"774";"387";"387";"-";"206";"206";"-";"-";"11";"3";"8";"-";3519501
