"Localidades";"Períodos";"Matrículas na Educação Infantil ";"Matrículas na Educação Infantil - Rede Municipal ";"Matrículas na Educação Infantil - Rede Particular ";"Matrículas no Ensino Fundamental ";"Matrículas no Ensino Fundamental - Rede Estadual ";"Matrículas no Ensino Fundamental - Rede Municipal ";"Matrículas no Ensino Fundamental - Rede Privada ";"Matrículas no Ensino Médio ";"Matrículas no Ensino Médio - Rede Estadual ";"Matrículas no Ensino Médio - Rede Municipal ";"Matrículas no Ensino Médio - Rede Particular ";"Matrículas na Educação Especial ";"Matrículas na Educação Especial - Rede Estadual ";"Matrículas na Educação Especial - Rede Municipal ";"Matrículas na Educação Especial - Rede Particular ";"Cód. IBGE"
"Itirapuã";"2014";"348";"278";"70";"864";"425";"439";"-";"253";"253";"-";"-";"9";"-";"9";"-";3523701
"Itirapuã";"2015";"336";"281";"55";"794";"372";"422";"-";"259";"259";"-";"-";"51";"21";"30";"-";3523701
"Itirapuã";"2016";"333";"292";"41";"832";"390";"442";"-";"264";"264";"-";"-";"54";"23";"31";"-";3523701
"Itirapuã";"2017";"342";"342";"-";"833";"373";"460";"-";"256";"256";"-";"-";"54";"27";"27";"-";3523701
"Itirapuã";"2018";"299";"299";"-";"792";"328";"464";"";"236";"236";"";"";"52";"27";"25";"";3523701
"Itobi";"2014";"257";"184";"73";"893";"662";"80";"151";"243";"243";"-";"-";"-";"-";"-";"-";3523800
"Itobi";"2015";"242";"177";"65";"916";"670";"88";"158";"243";"243";"-";"-";"40";"39";"1";"-";3523800
"Itobi";"2016";"247";"188";"59";"893";"678";"54";"161";"213";"213";"-";"-";"42";"41";"1";"-";3523800
"Itobi";"2017";"261";"193";"68";"841";"628";"64";"149";"180";"180";"-";"-";"34";"34";"-";"-";3523800
"Itobi";"2018";"269";"189";"80";"842";"611";"77";"154";"179";"179";"";"";"39";"37";"2";"";3523800
"Itu";"2014";"6817";"4932";"1885";"22321";"8786";"9997";"3538";"6797";"5762";"-";"1035";"152";"-";"-";"152";3523909
"Itu";"2015";"6853";"5047";"1806";"21209";"8083";"9586";"3540";"6777";"5669";"-";"1108";"506";"175";"171";"160";3523909
"Itu";"2016";"7120";"5288";"1832";"20710";"7619";"9473";"3618";"7438";"6420";"-";"1018";"575";"196";"217";"162";3523909
"Itu";"2017";"7399";"5511";"1888";"20798";"7836";"9417";"3545";"6797";"5868";"-";"929";"580";"215";"221";"144";3523909
"Itu";"2018";"7627";"5768";"1859";"20637";"7822";"9499";"3316";"6545";"5693";"";"852";"616";"260";"222";"134";3523909
"Itupeva";"2014";"2714";"2392";"322";"7779";"2800";"3925";"1054";"2217";"1999";"-";"218";"89";"-";"-";"89";3524006
"Itupeva";"2015";"2839";"2493";"346";"7930";"2685";"3983";"1262";"2151";"1887";"-";"264";"200";"40";"63";"97";3524006
"Itupeva";"2016";"2895";"2532";"363";"8186";"2814";"3981";"1391";"2223";"1952";"-";"271";"237";"56";"81";"100";3524006
"Itupeva";"2017";"2947";"2596";"351";"8351";"2798";"4077";"1476";"2134";"1840";"-";"294";"235";"56";"85";"94";3524006
"Itupeva";"2018";"3138";"2803";"335";"8538";"2827";"4017";"1694";"2151";"1844";"";"307";"253";"70";"81";"102";3524006
"Ituverava";"2014";"1668";"1169";"499";"4739";"-";"3735";"1004";"1533";"1157";"-";"376";"87";"-";"-";"87";3524105
"Ituverava";"2015";"1701";"1212";"489";"4656";"-";"3476";"1180";"1457";"1118";"-";"339";"142";"7";"47";"88";3524105
"Ituverava";"2016";"1672";"1255";"417";"4572";"-";"3341";"1231";"1440";"1125";"-";"315";"136";"8";"42";"86";3524105
"Ituverava";"2017";"1687";"1308";"379";"4416";"-";"3165";"1251";"1447";"1135";"-";"312";"143";"10";"49";"84";3524105
"Ituverava";"2018";"1700";"1308";"392";"4415";"";"3180";"1235";"1335";"1031";"";"304";"171";"10";"71";"90";3524105
"Jaborandi";"2014";"376";"376";"-";"775";"-";"775";"-";"191";"191";"-";"-";"-";"-";"-";"-";3524204
"Jaborandi";"2015";"338";"338";"-";"759";"-";"759";"-";"164";"164";"-";"-";"12";"1";"11";"-";3524204
"Jaborandi";"2016";"318";"318";"-";"748";"-";"748";"-";"151";"151";"-";"-";"19";"2";"17";"-";3524204
"Jaborandi";"2017";"327";"327";"-";"754";"-";"754";"-";"146";"146";"-";"-";"31";"3";"28";"-";3524204
"Jaborandi";"2018";"314";"314";"";"745";"";"745";"";"150";"150";"";"";"39";"4";"35";"";3524204
"Jaboticabal";"2014";"2978";"2254";"689";"8581";"2219";"4193";"2169";"2939";"2119";"-";"820";"228";"-";"40";"188";3524303
"Jaboticabal";"2015";"2889";"2203";"654";"8407";"2033";"4046";"2328";"2954";"2118";"-";"836";"379";"114";"116";"149";3524303
"Jaboticabal";"2016";"2996";"2225";"743";"8358";"1938";"4079";"2341";"2862";"2053";"-";"809";"354";"111";"97";"146";3524303
"Jaboticabal";"2017";"3285";"2554";"718";"8256";"1898";"3985";"2373";"2720";"1959";"-";"761";"360";"108";"110";"142";3524303
"Jaboticabal";"2018";"3258";"2555";"672";"8106";"1785";"3919";"2402";"2718";"1926";"";"792";"389";"116";"115";"158";3524303
"Jacareí";"2014";"9850";"5817";"4033";"27540";"10684";"11839";"5017";"10262";"8875";"-";"1387";"211";"-";"-";"211";3524402
"Jacareí";"2015";"10469";"6162";"4307";"27482";"9975";"12100";"5407";"9884";"8595";"-";"1289";"915";"397";"249";"268";3524402
"Jacareí";"2016";"10626";"6355";"4271";"27264";"9677";"12101";"5486";"10011";"8701";"-";"1272";"912";"402";"247";"262";3524402
"Jacareí";"2017";"10717";"6485";"4232";"26897";"9429";"12066";"5402";"9663";"8260";"-";"1289";"910";"447";"226";"237";3524402
"Jacareí";"2018";"11042";"6973";"4069";"28091";"9911";"12346";"5834";"8436";"7035";"";"1212";"952";"402";"254";"292";3524402
"Jaci";"2014";"238";"135";"103";"725";"347";"378";"-";"231";"231";"-";"-";"-";"-";"-";"-";3524501
"Jaci";"2015";"259";"139";"120";"735";"337";"398";"-";"237";"237";"-";"-";"13";"6";"6";"1";3524501
"Jaci";"2016";"288";"157";"131";"723";"311";"412";"-";"242";"242";"-";"-";"9";"5";"4";"-";3524501
"Jaci";"2017";"317";"168";"149";"720";"301";"419";"-";"231";"231";"-";"-";"13";"11";"2";"-";3524501
"Jaci";"2018";"361";"176";"185";"770";"323";"447";"";"234";"234";"";"";"14";"8";"6";"-";3524501
"Jacupiranga";"2014";"658";"532";"126";"2318";"1043";"1262";"13";"749";"749";"-";"-";"49";"-";"-";"49";3524600
"Jacupiranga";"2015";"652";"549";"103";"2320";"1039";"1213";"68";"681";"681";"-";"-";"67";"10";"10";"47";3524600
"Jacupiranga";"2016";"645";"545";"100";"2260";"942";"1269";"49";"732";"732";"-";"-";"81";"15";"17";"49";3524600
"Jacupiranga";"2017";"612";"516";"96";"2224";"1001";"1180";"43";"612";"612";"-";"-";"80";"19";"18";"43";3524600
"Jacupiranga";"2018";"690";"599";"91";"2185";"950";"1196";"39";"572";"572";"";"";"81";"24";"18";"39";3524600
"Jaguariúna";"2014";"2405";"2213";"192";"6368";"-";"5763";"605";"2101";"1874";"-";"227";"69";"-";"-";"69";3524709
"Jaguariúna";"2015";"2449";"2281";"168";"6390";"-";"5679";"711";"2140";"1925";"-";"215";"180";"16";"90";"74";3524709
"Jaguariúna";"2016";"2513";"2353";"160";"6360";"-";"5655";"705";"2211";"1999";"-";"212";"184";"20";"94";"70";3524709
"Jaguariúna";"2017";"2830";"2713";"117";"6328";"-";"5627";"701";"2161";"1998";"-";"163";"186";"18";"112";"56";3524709
"Jaguariúna";"2018";"2793";"2627";"166";"6748";"";"6005";"743";"1915";"1739";"";"176";"243";"27";"150";"66";3524709
"Jales";"2014";"1947";"1443";"504";"4939";"1922";"2036";"981";"2039";"1696";"-";"343";"119";"-";"-";"119";3524808
"Jales";"2015";"2087";"1598";"489";"4764";"1669";"2039";"1056";"1934";"1584";"-";"350";"230";"75";"40";"115";3524808
"Jales";"2016";"2084";"1602";"482";"4840";"1697";"2056";"1087";"2062";"1703";"-";"359";"223";"77";"36";"110";3524808
"Jales";"2017";"2079";"1585";"494";"4878";"1585";"2118";"1175";"1955";"1612";"-";"343";"220";"76";"39";"105";3524808
"Jales";"2018";"2252";"1732";"520";"4898";"1589";"2110";"1199";"1868";"1518";"";"350";"211";"73";"39";"99";3524808
"Jambeiro";"2014";"264";"264";"-";"887";"-";"887";"-";"221";"221";"-";"-";"-";"-";"-";"-";3524907
"Jambeiro";"2015";"281";"281";"-";"856";"-";"856";"-";"214";"214";"-";"-";"47";"2";"45";"-";3524907
"Jambeiro";"2016";"262";"262";"-";"803";"-";"803";"-";"227";"227";"-";"-";"46";"3";"43";"-";3524907
"Jambeiro";"2017";"268";"268";"-";"799";"-";"799";"-";"231";"231";"-";"-";"41";"2";"39";"-";3524907
"Jambeiro";"2018";"265";"265";"";"768";"";"768";"";"223";"223";"";"";"38";"5";"33";"";3524907
"Jandira";"2014";"5212";"3828";"1384";"14234";"6314";"5984";"1936";"5549";"5332";"-";"217";"7";"7";"-";"-";3525003
"Jandira";"2015";"5530";"4059";"1471";"13544";"5743";"5850";"1951";"4763";"4604";"-";"159";"236";"116";"96";"24";3525003
"Jandira";"2016";"5947";"4403";"1544";"13827";"5486";"6175";"2166";"5181";"5012";"-";"169";"270";"139";"107";"24";3525003
"Jandira";"2017";"5951";"4381";"1570";"13515";"5230";"6100";"2185";"5014";"4835";"-";"179";"297";"157";"114";"26";3525003
"Jandira";"2018";"5978";"4406";"1572";"13463";"4989";"5888";"2586";"4792";"4624";"";"168";"313";"167";"118";"28";3525003
"Jardinópolis";"2014";"2228";"1822";"406";"5635";"-";"4467";"1168";"1620";"1240";"-";"380";"55";"-";"-";"55";3525102
"Jardinópolis";"2015";"2282";"1903";"379";"5685";"-";"4482";"1203";"1675";"1317";"-";"358";"200";"11";"145";"44";3525102
"Jardinópolis";"2016";"2305";"1977";"328";"5668";"-";"4511";"1157";"1632";"1282";"-";"350";"206";"16";"147";"43";3525102
"Jardinópolis";"2017";"2384";"2053";"331";"5723";"-";"4582";"1141";"1532";"1223";"-";"309";"216";"43";"132";"41";3525102
"Jardinópolis";"2018";"2287";"1990";"297";"5649";"";"4546";"1103";"1531";"1214";"";"317";"237";"42";"156";"39";3525102
"Jarinu";"2014";"1506";"1372";"134";"4292";"1909";"2088";"295";"1335";"1270";"-";"65";"56";"-";"-";"56";3525201
"Jarinu";"2015";"1614";"1495";"119";"4296";"1714";"2242";"340";"1360";"1296";"-";"64";"140";"48";"39";"53";3525201
"Jarinu";"2016";"1736";"1622";"114";"4318";"1683";"2289";"346";"1418";"1350";"-";"68";"145";"51";"44";"50";3525201
"Jarinu";"2017";"1783";"1667";"116";"4290";"1675";"2280";"335";"1419";"1344";"-";"75";"141";"42";"49";"50";3525201
"Jarinu";"2018";"1742";"1628";"114";"4591";"1782";"2454";"355";"1388";"1319";"";"69";"160";"51";"50";"59";3525201
"Jaú";"2014";"5407";"3784";"1623";"15808";"4775";"7670";"3363";"5307";"4200";"-";"1107";"179";"-";"44";"135";3525300
"Jaú";"2015";"5361";"3685";"1676";"15471";"4454";"7383";"3634";"4979";"3872";"-";"1107";"812";"240";"381";"191";3525300
"Jaú";"2016";"5428";"3629";"1799";"15759";"4803";"7164";"3792";"5027";"3937";"-";"1090";"847";"290";"376";"181";3525300
"Jaú";"2017";"5281";"3553";"1728";"15210";"4211";"7165";"3834";"5286";"4194";"-";"1092";"919";"338";"397";"184";3525300
"Jaú";"2018";"5372";"3574";"1798";"15308";"4375";"6916";"4017";"4909";"3878";"";"1031";"995";"342";"415";"238";3525300
"Jeriquara";"2014";"195";"195";"-";"519";"-";"519";"-";"150";"150";"-";"-";"-";"-";"-";"-";3525409
"Jeriquara";"2015";"200";"200";"-";"479";"-";"479";"-";"135";"135";"-";"-";"5";"1";"4";"-";3525409
"Jeriquara";"2016";"180";"180";"-";"518";"-";"518";"-";"148";"148";"-";"-";"3";"1";"2";"-";3525409
"Jeriquara";"2017";"217";"217";"-";"518";"-";"518";"-";"153";"153";"-";"-";"9";"2";"7";"-";3525409
"Jeriquara";"2018";"204";"204";"";"519";"";"519";"";"144";"144";"";"";"10";"1";"9";"";3525409
"Joanópolis";"2014";"544";"480";"64";"1495";"-";"1444";"51";"390";"390";"-";"-";"-";"-";"-";"-";3525508
"Joanópolis";"2015";"525";"472";"53";"1539";"-";"1481";"58";"321";"321";"-";"-";"17";"3";"11";"3";3525508
"Joanópolis";"2016";"562";"522";"40";"1533";"-";"1502";"31";"347";"347";"-";"-";"20";"2";"18";"-";3525508
"Joanópolis";"2017";"579";"555";"24";"1543";"-";"1510";"33";"343";"343";"-";"-";"30";"5";"25";"-";3525508
"Joanópolis";"2018";"505";"486";"19";"1515";"";"1493";"22";"392";"392";"";"";"38";"11";"27";"-";3525508
"João Ramalho";"2014";"219";"219";"-";"508";"255";"253";"-";"144";"144";"-";"-";"-";"-";"-";"-";3525607
"João Ramalho";"2015";"220";"220";"-";"496";"237";"259";"-";"180";"180";"-";"-";"8";"6";"2";"-";3525607
"João Ramalho";"2016";"213";"213";"-";"529";"229";"300";"-";"159";"159";"-";"-";"7";"5";"2";"-";3525607
"João Ramalho";"2017";"235";"235";"-";"529";"240";"289";"-";"147";"147";"-";"-";"14";"5";"9";"-";3525607
"João Ramalho";"2018";"217";"217";"";"488";"196";"292";"";"128";"128";"";"";"16";"9";"7";"";3525607
"José Bonifácio";"2014";"1384";"1029";"355";"4207";"1829";"1467";"911";"1453";"1149";"-";"304";"103";"-";"-";"103";3525706
"José Bonifácio";"2015";"1509";"1129";"380";"4177";"1789";"1386";"1002";"1432";"1119";"-";"313";"244";"105";"50";"89";3525706
"José Bonifácio";"2016";"1469";"1137";"332";"4145";"1734";"1395";"1016";"1451";"1134";"-";"317";"246";"115";"41";"90";3525706
"José Bonifácio";"2017";"1584";"1251";"333";"4216";"1696";"1473";"1047";"1426";"1121";"-";"305";"274";"136";"46";"92";3525706
"José Bonifácio";"2018";"1569";"1250";"319";"4213";"1727";"1429";"1057";"1399";"1094";"";"305";"277";"145";"41";"91";3525706
"Júlio Mesquita";"2014";"190";"190";"-";"603";"321";"282";"-";"214";"214";"-";"-";"33";"-";"-";"33";3525805
"Júlio Mesquita";"2015";"212";"212";"-";"590";"294";"266";"30";"245";"245";"-";"-";"37";"5";"2";"30";3525805
"Júlio Mesquita";"2016";"214";"214";"-";"553";"254";"270";"29";"245";"245";"-";"-";"32";"2";"1";"29";3525805
"Júlio Mesquita";"2017";"219";"219";"-";"546";"230";"288";"28";"201";"201";"-";"-";"33";"3";"2";"28";3525805
"Júlio Mesquita";"2018";"214";"214";"";"535";"200";"318";"17";"201";"191";"";"10";"32";"3";"2";"27";3525805
"Jumirim";"2014";"231";"231";"-";"410";"-";"410";"-";"98";"98";"-";"-";"-";"-";"-";"-";3525854
"Jumirim";"2015";"153";"153";"-";"399";"-";"399";"-";"90";"90";"-";"-";"4";"2";"2";"-";3525854
"Jumirim";"2016";"162";"162";"-";"420";"-";"420";"-";"116";"116";"-";"-";"6";"2";"4";"-";3525854
"Jumirim";"2017";"167";"167";"-";"408";"-";"408";"-";"110";"110";"-";"-";"4";"2";"2";"-";3525854
"Jumirim";"2018";"160";"160";"";"428";"";"428";"";"82";"82";"";"";"5";"1";"4";"";3525854
"Jundiaí";"2014";"18699";"11121";"7578";"47027";"14384";"19006";"13637";"17440";"13060";"-";"4380";"179";"-";"-";"179";3525904
"Jundiaí";"2015";"18830";"12590";"6240";"46471";"13419";"19014";"14038";"17382";"12776";"-";"4606";"1418";"632";"461";"325";3525904
"Jundiaí";"2016";"19180";"12859";"6321";"47618";"13962";"19309";"14347";"17326";"12905";"-";"4421";"1597";"639";"642";"316";3525904
"Jundiaí";"2017";"20038";"13769";"6269";"48161";"14158";"19596";"14407";"16675";"12389";"-";"4248";"1655";"686";"676";"292";3525904
"Jundiaí";"2018";"20135";"11779";"8356";"49428";"14825";"19916";"14687";"15620";"11469";"";"4041";"1798";"756";"731";"309";3525904
"Junqueirópolis";"2014";"964";"917";"47";"2071";"796";"1068";"207";"637";"573";"-";"64";"-";"-";"-";"-";3526001
"Junqueirópolis";"2015";"1016";"977";"39";"2083";"804";"1071";"208";"528";"467";"-";"61";"39";"20";"19";"-";3526001
"Junqueirópolis";"2016";"1026";"978";"48";"2144";"821";"1110";"213";"536";"477";"-";"59";"51";"23";"28";"-";3526001
"Junqueirópolis";"2017";"1078";"1016";"62";"2204";"847";"1133";"224";"540";"469";"-";"71";"53";"30";"23";"-";3526001
"Junqueirópolis";"2018";"1017";"972";"45";"2254";"855";"1187";"212";"534";"446";"";"88";"49";"29";"20";"";3526001
"Juquiá";"2014";"661";"614";"47";"2986";"1462";"1366";"158";"1069";"1049";"-";"20";"35";"-";"-";"35";3526100
"Juquiá";"2015";"710";"652";"58";"2835";"1351";"1299";"185";"1077";"1053";"-";"24";"68";"18";"10";"40";3526100
"Juquiá";"2016";"741";"684";"57";"2759";"1232";"1361";"166";"1058";"1018";"-";"40";"77";"26";"16";"35";3526100
"Juquiá";"2017";"791";"744";"47";"2624";"1136";"1334";"154";"983";"940";"-";"43";"93";"34";"21";"38";3526100
"Juquiá";"2018";"681";"650";"31";"2577";"1103";"1337";"137";"859";"820";"";"39";"86";"34";"16";"36";3526100
"Juquitiba";"2014";"1415";"1135";"280";"4951";"3447";"1251";"253";"1676";"1616";"-";"60";"45";"-";"45";"-";3526209
"Juquitiba";"2015";"1438";"1141";"297";"4798";"3299";"1234";"265";"1687";"1621";"-";"66";"131";"85";"39";"7";3526209
"Juquitiba";"2016";"1504";"1214";"290";"4789";"3083";"1424";"282";"1714";"1640";"-";"74";"152";"92";"53";"7";3526209
"Juquitiba";"2017";"1478";"1204";"274";"4643";"2977";"1379";"287";"1635";"1565";"-";"70";"172";"103";"61";"8";3526209
"Juquitiba";"2018";"1365";"1126";"239";"4469";"2877";"1267";"325";"1545";"1488";"";"57";"154";"91";"55";"8";3526209
"Lagoinha";"2014";"145";"145";"-";"656";"341";"315";"-";"245";"245";"-";"-";"-";"-";"-";"-";3526308
"Lagoinha";"2015";"138";"138";"-";"604";"309";"295";"-";"222";"222";"-";"-";"23";"18";"5";"-";3526308
"Lagoinha";"2016";"139";"139";"-";"578";"265";"313";"-";"246";"246";"-";"-";"23";"16";"7";"-";3526308
"Lagoinha";"2017";"133";"133";"-";"585";"256";"329";"-";"213";"213";"-";"-";"31";"14";"17";"-";3526308
"Lagoinha";"2018";"162";"162";"";"582";"257";"325";"";"206";"206";"";"";"34";"20";"14";"";3526308
"Laranjal Paulista";"2014";"1212";"910";"302";"3401";"288";"2951";"162";"861";"646";"154";"61";"65";"-";"-";"65";3526407
"Laranjal Paulista";"2015";"1268";"972";"296";"3299";"339";"2744";"216";"822";"693";"72";"57";"64";"6";"14";"44";3526407
"Laranjal Paulista";"2016";"1363";"1029";"334";"3393";"397";"2759";"237";"838";"776";"-";"62";"61";"-";"15";"46";3526407
"Laranjal Paulista";"2017";"1413";"1103";"310";"3245";"376";"2625";"244";"965";"909";"-";"56";"65";"5";"15";"45";3526407
"Laranjal Paulista";"2018";"1381";"1052";"329";"3432";"329";"2845";"258";"952";"888";"-";"64";"86";"5";"33";"48";3526407
"Lavínia";"2014";"185";"185";"-";"545";"-";"545";"-";"176";"176";"-";"-";"-";"-";"-";"-";3526506
"Lavínia";"2015";"187";"187";"-";"533";"-";"533";"-";"197";"197";"-";"-";"9";"2";"7";"-";3526506
"Lavínia";"2016";"180";"180";"-";"555";"-";"555";"-";"203";"203";"-";"-";"9";"1";"8";"-";3526506
"Lavínia";"2017";"170";"170";"-";"533";"-";"533";"-";"195";"195";"-";"-";"15";"2";"13";"-";3526506
"Lavínia";"2018";"169";"169";"";"529";"";"529";"";"178";"178";"";"";"15";"2";"13";"";3526506
"Lavrinhas";"2014";"174";"174";"-";"905";"71";"834";"-";"313";"313";"-";"-";"-";"-";"-";"-";3526605
"Lavrinhas";"2015";"182";"182";"-";"832";"74";"758";"-";"329";"329";"-";"-";"11";"2";"9";"-";3526605
"Lavrinhas";"2016";"200";"200";"-";"892";"112";"780";"-";"334";"334";"-";"-";"17";"3";"14";"-";3526605
"Lavrinhas";"2017";"225";"225";"-";"939";"109";"830";"-";"272";"272";"-";"-";"21";"4";"17";"-";3526605
"Lavrinhas";"2018";"175";"175";"";"918";"102";"816";"";"213";"213";"";"";"21";"2";"19";"";3526605
"Leme";"2014";"4957";"4706";"251";"12226";"4558";"6449";"1219";"3862";"3431";"-";"431";"141";"-";"52";"89";3526704
"Leme";"2015";"4906";"4536";"370";"11971";"4308";"6339";"1324";"3676";"3326";"-";"350";"396";"137";"160";"99";3526704
"Leme";"2016";"5009";"4662";"347";"11911";"4264";"6302";"1345";"3815";"3531";"-";"284";"406";"129";"176";"101";3526704
"Leme";"2017";"4991";"4601";"390";"12335";"4701";"6207";"1427";"3232";"2978";"-";"254";"425";"140";"191";"94";3526704
"Leme";"2018";"5061";"4657";"404";"12181";"4661";"6068";"1452";"3060";"2834";"";"226";"449";"164";"159";"126";3526704
"Lençóis Paulista";"2014";"3156";"2699";"457";"7976";"1858";"5073";"1045";"2830";"2369";"-";"461";"164";"-";"-";"164";3526803
"Lençóis Paulista";"2015";"3321";"2781";"540";"8283";"1994";"5132";"1157";"2360";"1929";"-";"431";"293";"94";"96";"103";3526803
"Lençóis Paulista";"2016";"3340";"2767";"573";"8050";"1882";"5043";"1125";"2517";"2076";"-";"441";"288";"96";"116";"76";3526803
"Lençóis Paulista";"2017";"3361";"2795";"566";"7964";"1863";"4965";"1136";"2329";"1932";"-";"397";"290";"98";"118";"74";3526803
"Lençóis Paulista";"2018";"3482";"2861";"621";"8009";"1815";"4954";"1240";"2556";"2155";"";"401";"415";"85";"137";"193";3526803
"Limeira";"2014";"13184";"9816";"3368";"32781";"14261";"11975";"6545";"13070";"11249";"-";"1821";"343";"-";"14";"329";3526902
"Limeira";"2015";"13377";"9758";"3619";"32414";"13219";"11930";"7265";"12681";"10861";"-";"1820";"1030";"244";"460";"326";3526902
"Limeira";"2016";"13657";"10066";"3591";"31944";"11906";"12820";"7218";"12733";"10931";"-";"1802";"1083";"280";"511";"292";3526902
"Limeira";"2017";"13666";"9985";"3681";"31794";"11686";"12797";"7311";"11932";"10248";"-";"1684";"1136";"363";"492";"281";3526902
"Limeira";"2018";"13523";"10340";"3183";"31620";"11192";"13140";"7288";"11386";"9691";"";"1695";"1175";"408";"487";"280";3526902
"Lindóia";"2014";"345";"345";"-";"864";"-";"864";"-";"233";"233";"-";"-";"10";"-";"10";"-";3527009
"Lindóia";"2015";"308";"308";"-";"876";"-";"876";"-";"213";"213";"-";"-";"19";"4";"15";"-";3527009
"Lindóia";"2016";"314";"314";"-";"822";"-";"822";"-";"230";"230";"-";"-";"28";"4";"24";"-";3527009
"Lindóia";"2017";"310";"310";"-";"818";"-";"818";"-";"218";"218";"-";"-";"25";"2";"23";"-";3527009
"Lindóia";"2018";"325";"325";"";"779";"";"779";"";"190";"190";"";"";"31";"4";"27";"";3527009
"Lins";"2014";"3282";"1939";"1343";"8286";"5532";"928";"1826";"3276";"2641";"-";"635";"203";"25";"24";"154";3527108
"Lins";"2015";"3414";"2108";"1306";"8205";"5353";"926";"1926";"3068";"2469";"-";"599";"541";"283";"134";"124";3527108
"Lins";"2016";"3635";"2324";"1311";"8061";"5312";"801";"1948";"3075";"2468";"-";"607";"565";"288";"156";"121";3527108
"Lins";"2017";"3706";"2458";"1248";"8022";"5249";"829";"1944";"2971";"2375";"-";"596";"501";"264";"127";"110";3527108
"Lins";"2018";"3795";"2457";"1338";"8106";"5336";"839";"1931";"2800";"2263";"";"537";"520";"311";"93";"116";3527108
"Lorena";"2014";"3363";"2283";"1080";"11266";"2577";"6120";"2569";"3451";"2597";"-";"854";"187";"-";"40";"147";3527207
"Lorena";"2015";"3340";"2208";"1132";"11054";"2280";"6046";"2728";"3289";"2416";"-";"873";"381";"42";"172";"167";3527207
"Lorena";"2016";"3372";"2268";"1104";"10956";"2303";"5892";"2761";"3414";"2556";"-";"858";"421";"62";"181";"178";3527207
"Lorena";"2017";"3493";"2391";"1102";"10691";"2123";"5817";"2751";"3311";"2475";"-";"836";"447";"78";"188";"181";3527207
"Lorena";"2018";"3482";"2387";"1095";"10648";"2051";"5817";"2780";"3168";"2389";"";"779";"417";"71";"185";"161";3527207
"Lourdes";"2014";"113";"113";"-";"252";"123";"129";"-";"80";"80";"-";"-";"-";"-";"-";"-";3527256
"Lourdes";"2015";"123";"123";"-";"231";"103";"128";"-";"73";"73";"-";"-";"5";"3";"2";"-";3527256
"Lourdes";"2016";"106";"106";"-";"223";"100";"123";"-";"82";"82";"-";"-";"5";"4";"1";"-";3527256
"Lourdes";"2017";"113";"113";"-";"229";"101";"128";"-";"73";"73";"-";"-";"4";"4";"-";"-";3527256
"Lourdes";"2018";"117";"117";"";"208";"84";"124";"";"72";"72";"";"";"7";"6";"1";"";3527256
"Louveira";"2014";"2521";"2422";"99";"5283";"2142";"2846";"295";"1442";"1442";"-";"-";"-";"-";"-";"-";3527306
"Louveira";"2015";"2580";"2448";"132";"5391";"2128";"2950";"313";"1474";"1474";"-";"-";"152";"78";"70";"4";3527306
"Louveira";"2016";"2706";"2506";"200";"5520";"2126";"3056";"338";"1499";"1499";"-";"-";"154";"81";"68";"5";3527306
"Louveira";"2017";"2763";"2599";"164";"5734";"2176";"3213";"345";"1460";"1460";"-";"-";"168";"94";"69";"5";3527306
"Louveira";"2018";"2798";"2635";"163";"5879";"2144";"3336";"399";"1399";"1399";"";"";"169";"98";"67";"4";3527306
"Lucélia";"2014";"863";"748";"115";"2061";"435";"1520";"106";"607";"557";"-";"50";"44";"-";"-";"44";3527405
"Lucélia";"2015";"840";"713";"127";"1961";"393";"1440";"128";"526";"493";"-";"33";"69";"16";"25";"28";3527405
"Lucélia";"2016";"789";"700";"89";"1988";"402";"1449";"137";"534";"505";"-";"29";"68";"16";"24";"28";3527405
"Lucélia";"2017";"791";"699";"92";"1990";"351";"1514";"125";"489";"465";"-";"24";"67";"18";"23";"26";3527405
"Lucélia";"2018";"747";"636";"111";"1855";"323";"1509";"23";"469";"469";"";"-";"71";"19";"28";"24";3527405
"Lucianópolis";"2014";"100";"72";"28";"314";"174";"140";"-";"103";"103";"-";"-";"-";"-";"-";"-";3527504
"Lucianópolis";"2015";"72";"58";"14";"303";"149";"154";"-";"118";"118";"-";"-";"7";"5";"2";"-";3527504
"Lucianópolis";"2016";"70";"60";"10";"289";"134";"155";"-";"119";"119";"-";"-";"8";"5";"3";"-";3527504
"Lucianópolis";"2017";"78";"51";"27";"249";"102";"147";"-";"128";"128";"-";"-";"6";"4";"2";"-";3527504
"Lucianópolis";"2018";"93";"59";"34";"234";"93";"141";"";"112";"112";"";"";"7";"4";"3";"";3527504
"Luís Antônio";"2014";"622";"571";"51";"1843";"-";"1749";"94";"470";"463";"-";"7";"-";"-";"-";"-";3527603
"Luís Antônio";"2015";"550";"507";"43";"1804";"-";"1721";"83";"477";"460";"-";"17";"46";"2";"43";"1";3527603
"Luís Antônio";"2016";"572";"531";"41";"1772";"-";"1676";"96";"456";"441";"-";"15";"41";"2";"39";"-";3527603
"Luís Antônio";"2017";"662";"601";"61";"1766";"-";"1657";"109";"465";"444";"-";"21";"49";"5";"44";"-";3527603
"Luís Antônio";"2018";"678";"611";"67";"1720";"";"1595";"125";"476";"455";"";"21";"53";"5";"48";"-";3527603
"Luiziânia";"2014";"240";"238";"2";"577";"181";"396";"-";"145";"145";"-";"-";"-";"-";"-";"-";3527702
