"Localidades";"Períodos";"Índice de Desenvolvimento Humano Municipal - IDHM ";"Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ";"Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ";"Índice de Desenvolvimento Humano Municipal - IDHM Educação ";"Índice de Desenvolvimento Humano Municipal - IDHM Renda ";"Cód. IBGE"
"Araçoiaba da Serra";"2010";"0,776";"83";"0,86";"0,723";"0,751";3502903
"Arco-Íris";"1991";"0,408";"599";"0,695";"0,147";"0,663";3503356
"Arco-Íris";"2000";"0,636";"366";"0,791";"0,489";"0,666";3503356
"Arco-Íris";"2010";"0,722";"452";"0,809";"0,694";"0,671";3503356
"Arealva";"1991";"0,478";"417";"0,733";"0,245";"0,608";3503406
"Arealva";"2000";"0,662";"230";"0,797";"0,536";"0,679";3503406
"Arealva";"2010";"0,744";"274";"0,84";"0,683";"0,718";3503406
"Areias";"1991";"0,418";"588";"0,648";"0,205";"0,551";3503505
"Areias";"2000";"0,6";"542";"0,751";"0,456";"0,631";3503505
"Areias";"2010";"0,697";"590";"0,803";"0,672";"0,627";3503505
"Areiópolis";"1991";"0,433";"560";"0,717";"0,189";"0,6";3503604
"Areiópolis";"2000";"0,578";"596";"0,765";"0,401";"0,629";3503604
"Areiópolis";"2010";"0,695";"599";"0,823";"0,594";"0,686";3503604
"Ariranha";"1991";"0,48";"406";"0,705";"0,235";"0,666";3503703
"Ariranha";"2000";"0,633";"387";"0,774";"0,511";"0,642";3503703
"Ariranha";"2010";"0,733";"362";"0,813";"0,663";"0,73";3503703
"Artur Nogueira";"1991";"0,519";"218";"0,709";"0,288";"0,686";3503802
"Artur Nogueira";"2000";"0,658";"246";"0,802";"0,505";"0,703";3503802
"Artur Nogueira";"2010";"0,749";"236";"0,827";"0,681";"0,745";3503802
"Arujá";"1991";"0,524";"198";"0,754";"0,277";"0,689";3503901
"Arujá";"2000";"0,67";"179";"0,796";"0,528";"0,715";3503901
"Arujá";"2010";"0,784";"55";"0,866";"0,73";"0,761";3503901
"Aspásia";"1991";"0,434";"556";"0,699";"0,218";"0,536";3503950
"Aspásia";"2000";"0,629";"413";"0,812";"0,506";"0,607";3503950
"Aspásia";"2010";"0,735";"345";"0,864";"0,657";"0,699";3503950
"Assis";"1991";"0,597";"25";"0,742";"0,416";"0,69";3504008
"Assis";"2000";"0,728";"25";"0,806";"0,648";"0,739";3504008
"Assis";"2010";"0,805";"14";"0,865";"0,781";"0,771";3504008
"Atibaia";"1991";"0,545";"127";"0,752";"0,304";"0,708";3504107
"Atibaia";"2000";"0,675";"162";"0,804";"0,506";"0,756";3504107
"Atibaia";"2010";"0,765";"138";"0,851";"0,67";"0,786";3504107
"Auriflama";"1991";"0,557";"96";"0,711";"0,365";"0,665";3504206
"Auriflama";"2000";"0,677";"155";"0,752";"0,584";"0,705";3504206
"Auriflama";"2010";"0,773";"96";"0,84";"0,738";"0,746";3504206
"Avaí";"1991";"0,421";"582";"0,69";"0,197";"0,549";3504305
"Avaí";"2000";"0,608";"506";"0,784";"0,449";"0,637";3504305
"Avaí";"2010";"0,714";"509";"0,83";"0,65";"0,674";3504305
"Avanhandava";"1991";"0,463";"466";"0,732";"0,219";"0,621";3504404
"Avanhandava";"2000";"0,608";"506";"0,776";"0,454";"0,637";3504404
"Avanhandava";"2010";"0,705";"554";"0,817";"0,623";"0,688";3504404
"Avaré";"1991";"0,541";"139";"0,764";"0,306";"0,679";3504503
"Avaré";"2000";"0,683";"138";"0,813";"0,538";"0,727";3504503
"Avaré";"2010";"0,767";"127";"0,866";"0,695";"0,751";3504503
"Bady Bassitt";"1991";"0,525";"193";"0,704";"0,305";"0,672";3504602
"Bady Bassitt";"2000";"0,688";"114";"0,77";"0,603";"0,7";3504602
"Bady Bassitt";"2010";"0,746";"260";"0,805";"0,701";"0,737";3504602
"Balbinos";"1991";"0,536";"157";"0,72";"0,37";"0,578";3504701
"Balbinos";"2000";"0,639";"354";"0,769";"0,522";"0,649";3504701
"Balbinos";"2010";"0,669";"634";"0,809";"0,537";"0,69";3504701
"Bálsamo";"1991";"0,525";"193";"0,765";"0,302";"0,628";3504800
"Bálsamo";"2000";"0,705";"57";"0,833";"0,56";"0,752";3504800
"Bálsamo";"2010";"0,756";"188";"0,835";"0,695";"0,746";3504800
"Bananal";"1991";"0,456";"489";"0,689";"0,234";"0,587";3504909
"Bananal";"2000";"0,632";"392";"0,802";"0,47";"0,669";3504909
"Bananal";"2010";"0,733";"362";"0,872";"0,653";"0,693";3504909
"Barão de Antonina";"1991";"0,464";"464";"0,667";"0,282";"0,532";3505005
"Barão de Antonina";"2000";"0,593";"561";"0,758";"0,455";"0,606";3505005
"Barão de Antonina";"2010";"0,711";"528";"0,82";"0,649";"0,676";3505005
"Barbosa";"1991";"0,43";"566";"0,694";"0,2";"0,573";3505104
"Barbosa";"2000";"0,588";"576";"0,738";"0,444";"0,62";3505104
"Barbosa";"2010";"0,699";"584";"0,843";"0,599";"0,676";3505104
"Bariri";"1991";"0,572";"57";"0,76";"0,375";"0,656";3505203
"Bariri";"2000";"0,698";"87";"0,846";"0,565";"0,711";3505203
"Bariri";"2010";"0,75";"232";"0,867";"0,662";"0,736";3505203
"Barra Bonita";"1991";"0,603";"18";"0,762";"0,39";"0,737";3505302
"Barra Bonita";"2000";"0,706";"53";"0,807";"0,602";"0,725";3505302
"Barra Bonita";"2010";"0,788";"40";"0,869";"0,739";"0,762";3505302
"Barra do Chapéu";"1991";"0,325";"638";"0,648";"0,107";"0,494";3505351
"Barra do Chapéu";"2000";"0,488";"643";"0,699";"0,319";"0,52";3505351
"Barra do Chapéu";"2010";"0,66";"639";"0,779";"0,599";"0,617";3505351
"Barra do Turvo";"1991";"0,318";"639";"0,644";"0,1";"0,501";3505401
"Barra do Turvo";"2000";"0,482";"644";"0,743";"0,284";"0,53";3505401
"Barra do Turvo";"2010";"0,641";"644";"0,792";"0,532";"0,625";3505401
"Barretos";"1991";"0,558";"91";"0,754";"0,337";"0,684";3505500
"Barretos";"2000";"0,71";"48";"0,804";"0,604";"0,736";3505500
"Barretos";"2010";"0,789";"38";"0,875";"0,738";"0,762";3505500
"Barrinha";"1991";"0,409";"598";"0,719";"0,148";"0,644";3505609
"Barrinha";"2000";"0,591";"570";"0,76";"0,423";"0,642";3505609
"Barrinha";"2010";"0,725";"430";"0,829";"0,646";"0,711";3505609
"Barueri";"1991";"0,549";"118";"0,747";"0,304";"0,727";3505708
"Barueri";"2000";"0,705";"57";"0,796";"0,567";"0,775";3505708
"Barueri";"2010";"0,786";"47";"0,866";"0,708";"0,791";3505708
"Bastos";"1991";"0,516";"234";"0,715";"0,304";"0,631";3505807
"Bastos";"2000";"0,651";"284";"0,791";"0,527";"0,662";3505807
"Bastos";"2010";"0,751";"219";"0,848";"0,718";"0,696";3505807
"Batatais";"1991";"0,519";"218";"0,733";"0,277";"0,69";3505906
"Batatais";"2000";"0,695";"93";"0,829";"0,559";"0,723";3505906
"Batatais";"2010";"0,761";"160";"0,84";"0,685";"0,766";3505906
"Bauru";"1991";"0,607";"15";"0,717";"0,43";"0,727";3506003
"Bauru";"2000";"0,736";"16";"0,798";"0,645";"0,774";3506003
"Bauru";"2010";"0,801";"20";"0,854";"0,752";"0,8";3506003
"Bebedouro";"1991";"0,548";"120";"0,752";"0,324";"0,674";3506102
"Bebedouro";"2000";"0,695";"93";"0,818";"0,576";"0,712";3506102
"Bebedouro";"2010";"0,78";"66";"0,853";"0,735";"0,756";3506102
"Bento de Abreu";"1991";"0,54";"143";"0,7";"0,354";"0,634";3506201
"Bento de Abreu";"2000";"0,635";"371";"0,796";"0,515";"0,626";3506201
"Bento de Abreu";"2010";"0,744";"274";"0,82";"0,712";"0,706";3506201
"Bernardino de Campos";"1991";"0,511";"265";"0,689";"0,306";"0,633";3506300
"Bernardino de Campos";"2000";"0,643";"328";"0,783";"0,499";"0,681";3506300
"Bernardino de Campos";"2010";"0,734";"356";"0,838";"0,662";"0,713";3506300
"Bertioga";"1991";"0,51";"267";"0,716";"0,269";"0,689";3506359
"Bertioga";"2000";"0,634";"377";"0,756";"0,473";"0,714";3506359
"Bertioga";"2010";"0,73";"388";"0,817";"0,654";"0,727";3506359
"Bilac";"1991";"0,574";"51";"0,752";"0,395";"0,637";3506409
"Bilac";"2000";"0,709";"51";"0,842";"0,605";"0,7";3506409
"Bilac";"2010";"0,768";"121";"0,845";"0,722";"0,743";3506409
"Birigui";"1991";"0,569";"62";"0,737";"0,366";"0,683";3506508
"Birigui";"2000";"0,703";"69";"0,791";"0,605";"0,726";3506508
"Birigui";"2010";"0,78";"66";"0,869";"0,734";"0,743";3506508
"Biritiba-Mirim";"1991";"0,489";"358";"0,67";"0,277";"0,63";3506607
"Biritiba-Mirim";"2000";"0,603";"528";"0,74";"0,448";"0,663";3506607
"Biritiba-Mirim";"2010";"0,712";"522";"0,795";"0,64";"0,71";3506607
"Boa Esperança do Sul";"1991";"0,415";"593";"0,668";"0,172";"0,624";3506706
"Boa Esperança do Sul";"2000";"0,602";"533";"0,774";"0,428";"0,66";3506706
"Boa Esperança do Sul";"2010";"0,681";"619";"0,811";"0,562";"0,692";3506706
"Bocaina";"1991";"0,544";"132";"0,747";"0,314";"0,685";3506805
"Bocaina";"2000";"0,677";"155";"0,833";"0,536";"0,695";3506805
"Bocaina";"2010";"0,742";"290";"0,84";"0,656";"0,741";3506805
"Bofete";"1991";"0,429";"567";"0,708";"0,187";"0,598";3506904
"Bofete";"2000";"0,616";"476";"0,801";"0,424";"0,688";3506904
"Bofete";"2010";"0,705";"554";"0,821";"0,609";"0,7";3506904
"Boituva";"1991";"0,539";"147";"0,718";"0,324";"0,675";3507001
"Boituva";"2000";"0,672";"171";"0,801";"0,534";"0,709";3507001
"Boituva";"2010";"0,78";"66";"0,861";"0,728";"0,757";3507001
"Bom Jesus dos Perdões";"1991";"0,445";"525";"0,688";"0,189";"0,679";3507100
"Bom Jesus dos Perdões";"2000";"0,617";"473";"0,768";"0,443";"0,689";3507100
"Bom Jesus dos Perdões";"2010";"0,713";"515";"0,802";"0,631";"0,716";3507100
"Bom Sucesso de Itararé";"1991";"0,305";"643";"0,648";"0,089";"0,492";3507159
"Bom Sucesso de Itararé";"2000";"0,539";"633";"0,734";"0,378";"0,563";3507159
"Bom Sucesso de Itararé";"2010";"0,66";"639";"0,775";"0,613";"0,605";3507159
"Borá";"1991";"0,506";"280";"0,76";"0,307";"0,555";3507209
"Borá";"2000";"0,649";"289";"0,794";"0,527";"0,652";3507209
"Borá";"2010";"0,746";"260";"0,863";"0,675";"0,712";3507209
"Boracéia";"1991";"0,47";"442";"0,735";"0,235";"0,601";3507308
"Boracéia";"2000";"0,637";"363";"0,824";"0,47";"0,667";3507308
"Boracéia";"2010";"0,754";"199";"0,866";"0,685";"0,723";3507308
"Borborema";"1991";"0,493";"334";"0,688";"0,258";"0,676";3507407
"Borborema";"2000";"0,63";"404";"0,784";"0,475";"0,673";3507407
"Borborema";"2010";"0,73";"388";"0,831";"0,658";"0,71";3507407
"Borebi";"1991";"0,482";"396";"0,717";"0,253";"0,616";3507456
"Borebi";"2000";"0,578";"596";"0,76";"0,414";"0,615";3507456
"Borebi";"2010";"0,705";"554";"0,846";"0,615";"0,674";3507456
"Botucatu";"1991";"0,588";"33";"0,731";"0,387";"0,72";3507506
"Botucatu";"2000";"0,718";"36";"0,797";"0,62";"0,748";3507506
"Botucatu";"2010";"0,8";"22";"0,869";"0,746";"0,79";3507506
"Bragança Paulista";"1991";"0,553";"108";"0,741";"0,323";"0,705";3507605
"Bragança Paulista";"2000";"0,687";"121";"0,796";"0,552";"0,738";3507605
"Bragança Paulista";"2010";"0,776";"83";"0,861";"0,704";"0,772";3507605
"Braúna";"1991";"0,524";"198";"0,721";"0,334";"0,597";3507704
"Braúna";"2000";"0,669";"181";"0,789";"0,571";"0,664";3507704
"Braúna";"2010";"0,737";"330";"0,83";"0,664";"0,725";3507704
"Brejo Alegre";"1991";"0,437";"549";"0,688";"0,211";"0,573";3507753
"Brejo Alegre";"2000";"0,597";"549";"0,756";"0,461";"0,61";3507753
"Brejo Alegre";"2010";"0,71";"534";"0,826";"0,618";"0,702";3507753
"Brodowski";"1991";"0,546";"124";"0,749";"0,322";"0,675";3507803
