"Localidades";"Períodos";"Índice de Desenvolvimento Humano Municipal - IDHM ";"Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ";"Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ";"Índice de Desenvolvimento Humano Municipal - IDHM Educação ";"Índice de Desenvolvimento Humano Municipal - IDHM Renda ";"Cód. IBGE"
"Ibitinga";"2010";"0,747";"252";"0,846";"0,667";"0,738";3519600
"Ibiúna";"1991";"0,408";"599";"0,703";"0,152";"0,637";3519709
"Ibiúna";"2000";"0,577";"599";"0,803";"0,365";"0,654";3519709
"Ibiúna";"2010";"0,71";"534";"0,832";"0,614";"0,7";3519709
"Icém";"1991";"0,508";"271";"0,685";"0,289";"0,661";3519808
"Icém";"2000";"0,646";"299";"0,766";"0,531";"0,664";3519808
"Icém";"2010";"0,72";"469";"0,806";"0,646";"0,716";3519808
"Iepê";"1991";"0,484";"380";"0,698";"0,276";"0,587";3519907
"Iepê";"2000";"0,644";"318";"0,746";"0,554";"0,645";3519907
"Iepê";"2010";"0,736";"339";"0,814";"0,7";"0,7";3519907
"Igarapava";"1991";"0,496";"321";"0,719";"0,262";"0,648";3520103
"Igarapava";"2000";"0,666";"202";"0,802";"0,538";"0,684";3520103
"Igarapava";"2010";"0,768";"121";"0,835";"0,671";"0,809";3520103
"Igaratá";"1991";"0,427";"575";"0,756";"0,168";"0,614";3520202
"Igaratá";"2000";"0,603";"528";"0,775";"0,429";"0,661";3520202
"Igaratá";"2010";"0,711";"528";"0,855";"0,616";"0,683";3520202
"Igaraçu do Tietê";"1991";"0,445";"525";"0,726";"0,186";"0,651";3520004
"Igaraçu do Tietê";"2000";"0,611";"499";"0,76";"0,452";"0,663";3520004
"Igaraçu do Tietê";"2010";"0,727";"418";"0,838";"0,664";"0,691";3520004
"Iguape";"1991";"0,473";"432";"0,715";"0,255";"0,58";3520301
"Iguape";"2000";"0,632";"392";"0,778";"0,493";"0,657";3520301
"Iguape";"2010";"0,726";"426";"0,847";"0,653";"0,691";3520301
"Ilha Comprida";"1991";"0,451";"503";"0,695";"0,22";"0,601";3520426
"Ilha Comprida";"2000";"0,694";"96";"0,79";"0,6";"0,705";3520426
"Ilha Comprida";"2010";"0,725";"430";"0,823";"0,666";"0,696";3520426
"Ilha Solteira";"1991";"0,635";"4";"0,772";"0,472";"0,702";3520442
"Ilha Solteira";"2000";"0,752";"4";"0,852";"0,68";"0,733";3520442
"Ilha Solteira";"2010";"0,812";"10";"0,871";"0,782";"0,786";3520442
"Ilhabela";"1991";"0,505";"285";"0,687";"0,284";"0,661";3520400
"Ilhabela";"2000";"0,658";"246";"0,807";"0,499";"0,706";3520400
"Ilhabela";"2010";"0,756";"188";"0,843";"0,693";"0,739";3520400
"Indaiatuba";"1991";"0,541";"139";"0,747";"0,303";"0,7";3520509
"Indaiatuba";"2000";"0,704";"65";"0,804";"0,573";"0,757";3520509
"Indaiatuba";"2010";"0,788";"40";"0,837";"0,738";"0,791";3520509
"Indiana";"1991";"0,515";"240";"0,718";"0,328";"0,58";3520608
"Indiana";"2000";"0,678";"150";"0,807";"0,573";"0,673";3520608
"Indiana";"2010";"0,761";"160";"0,843";"0,733";"0,714";3520608
"Indiaporã";"1991";"0,541";"139";"0,683";"0,377";"0,614";3520707
"Indiaporã";"2000";"0,662";"230";"0,776";"0,575";"0,649";3520707
"Indiaporã";"2010";"0,751";"219";"0,835";"0,71";"0,714";3520707
"Inúbia Paulista";"1991";"0,508";"271";"0,729";"0,311";"0,578";3520806
"Inúbia Paulista";"2000";"0,664";"216";"0,79";"0,59";"0,629";3520806
"Inúbia Paulista";"2010";"0,759";"169";"0,849";"0,75";"0,688";3520806
"Ipaussu";"1991";"0,452";"499";"0,703";"0,215";"0,61";3520905
"Ipaussu";"2000";"0,623";"439";"0,804";"0,455";"0,66";3520905
"Ipaussu";"2010";"0,727";"418";"0,828";"0,65";"0,713";3520905
"Iperó";"1991";"0,514";"249";"0,7";"0,303";"0,641";3521002
"Iperó";"2000";"0,607";"510";"0,722";"0,474";"0,655";3521002
"Iperó";"2010";"0,719";"476";"0,814";"0,672";"0,68";3521002
"Ipeúna";"1991";"0,505";"285";"0,76";"0,269";"0,629";3521101
"Ipeúna";"2000";"0,669";"181";"0,834";"0,506";"0,71";3521101
"Ipeúna";"2010";"0,753";"207";"0,845";"0,685";"0,737";3521101
"Ipiguá";"1991";"0,49";"352";"0,744";"0,245";"0,646";3521150
"Ipiguá";"2000";"0,652";"280";"0,794";"0,523";"0,666";3521150
"Ipiguá";"2010";"0,73";"388";"0,839";"0,666";"0,696";3521150
"Iporanga";"1991";"0,356";"631";"0,644";"0,13";"0,537";3521200
"Iporanga";"2000";"0,581";"589";"0,743";"0,464";"0,568";3521200
"Iporanga";"2010";"0,703";"565";"0,816";"0,668";"0,637";3521200
"Ipuã";"1991";"0,485";"370";"0,689";"0,256";"0,647";3521309
"Ipuã";"2000";"0,639";"354";"0,788";"0,485";"0,683";3521309
"Ipuã";"2010";"0,749";"236";"0,848";"0,654";"0,759";3521309
"Iracemápolis";"1991";"0,562";"80";"0,773";"0,328";"0,701";3521408
"Iracemápolis";"2000";"0,687";"121";"0,803";"0,548";"0,737";3521408
"Iracemápolis";"2010";"0,776";"83";"0,863";"0,729";"0,742";3521408
"Irapuã";"1991";"0,456";"489";"0,728";"0,223";"0,584";3521507
"Irapuã";"2000";"0,616";"476";"0,753";"0,491";"0,633";3521507
"Irapuã";"2010";"0,713";"515";"0,844";"0,624";"0,688";3521507
"Irapuru";"1991";"0,507";"276";"0,722";"0,289";"0,626";3521606
"Irapuru";"2000";"0,645";"310";"0,789";"0,539";"0,631";3521606
"Irapuru";"2010";"0,712";"522";"0,839";"0,622";"0,691";3521606
"Itaberá";"1991";"0,436";"550";"0,694";"0,191";"0,627";3521705
"Itaberá";"2000";"0,571";"612";"0,786";"0,396";"0,599";3521705
"Itaberá";"2010";"0,693";"603";"0,803";"0,636";"0,652";3521705
"Itaí";"1991";"0,442";"533";"0,698";"0,205";"0,603";3521804
"Itaí";"2000";"0,581";"589";"0,762";"0,41";"0,629";3521804
"Itaí";"2010";"0,713";"515";"0,83";"0,63";"0,692";3521804
"Itajobi";"1991";"0,506";"280";"0,73";"0,281";"0,63";3521903
"Itajobi";"2000";"0,643";"328";"0,802";"0,501";"0,663";3521903
"Itajobi";"2010";"0,73";"388";"0,832";"0,644";"0,727";3521903
"Itaju";"1991";"0,522";"206";"0,705";"0,356";"0,566";3522000
"Itaju";"2000";"0,643";"328";"0,8";"0,515";"0,646";3522000
"Itaju";"2010";"0,705";"554";"0,823";"0,613";"0,696";3522000
"Itanhaém";"1991";"0,523";"202";"0,675";"0,319";"0,666";3522109
"Itanhaém";"2000";"0,652";"280";"0,759";"0,532";"0,686";3522109
"Itanhaém";"2010";"0,745";"265";"0,823";"0,701";"0,716";3522109
"Itaóca";"1991";"0,364";"627";"0,644";"0,151";"0,495";3522158
"Itaóca";"2000";"0,533";"636";"0,712";"0,404";"0,525";3522158
"Itaóca";"2010";"0,68";"621";"0,787";"0,637";"0,627";3522158
"Itapecerica da Serra";"1991";"0,501";"302";"0,696";"0,254";"0,711";3522208
"Itapecerica da Serra";"2000";"0,64";"350";"0,787";"0,487";"0,684";3522208
"Itapecerica da Serra";"2010";"0,742";"290";"0,852";"0,687";"0,699";3522208
"Itapetininga";"1991";"0,532";"168";"0,688";"0,328";"0,668";3522307
"Itapetininga";"2000";"0,662";"230";"0,768";"0,535";"0,705";3522307
"Itapetininga";"2010";"0,763";"145";"0,864";"0,705";"0,728";3522307
"Itapeva";"1991";"0,458";"483";"0,658";"0,235";"0,622";3522406
"Itapeva";"2000";"0,619";"461";"0,752";"0,479";"0,66";3522406
"Itapeva";"2010";"0,732";"370";"0,803";"0,697";"0,702";3522406
"Itapevi";"1991";"0,45";"505";"0,712";"0,209";"0,612";3522505
"Itapevi";"2000";"0,61";"503";"0,758";"0,467";"0,641";3522505
"Itapevi";"2010";"0,735";"345";"0,855";"0,677";"0,687";3522505
"Itapira";"1991";"0,54";"143";"0,717";"0,324";"0,679";3522604
"Itapira";"2000";"0,687";"121";"0,808";"0,556";"0,722";3522604
"Itapira";"2010";"0,762";"151";"0,852";"0,692";"0,75";3522604
"Itapirapuã Paulista";"1991";"0,313";"641";"0,642";"0,103";"0,463";3522653
"Itapirapuã Paulista";"2000";"0,504";"640";"0,741";"0,308";"0,562";3522653
"Itapirapuã Paulista";"2010";"0,661";"638";"0,816";"0,594";"0,595";3522653
"Itápolis";"1991";"0,508";"271";"0,722";"0,28";"0,648";3522703
"Itápolis";"2000";"0,655";"264";"0,784";"0,516";"0,694";3522703
"Itápolis";"2010";"0,744";"274";"0,836";"0,667";"0,738";3522703
"Itaporanga";"1991";"0,435";"552";"0,688";"0,21";"0,57";3522802
"Itaporanga";"2000";"0,593";"561";"0,758";"0,451";"0,611";3522802
"Itaporanga";"2010";"0,719";"476";"0,835";"0,653";"0,681";3522802
"Itapuí";"1991";"0,482";"396";"0,695";"0,244";"0,659";3522901
"Itapuí";"2000";"0,616";"476";"0,76";"0,46";"0,668";3522901
"Itapuí";"2010";"0,725";"430";"0,841";"0,633";"0,716";3522901
"Itapura";"1991";"0,465";"460";"0,698";"0,247";"0,582";3523008
"Itapura";"2000";"0,606";"517";"0,719";"0,537";"0,575";3523008
"Itapura";"2010";"0,72";"469";"0,813";"0,673";"0,682";3523008
"Itaquaquecetuba";"1991";"0,443";"531";"0,67";"0,211";"0,616";3523107
"Itaquaquecetuba";"2000";"0,592";"566";"0,74";"0,446";"0,63";3523107
"Itaquaquecetuba";"2010";"0,714";"509";"0,844";"0,648";"0,665";3523107
"Itararé";"1991";"0,449";"509";"0,652";"0,229";"0,606";3523206
"Itararé";"2000";"0,588";"576";"0,718";"0,438";"0,648";3523206
"Itararé";"2010";"0,703";"565";"0,803";"0,649";"0,668";3523206
"Itariri";"1991";"0,449";"509";"0,679";"0,217";"0,616";3523305
"Itariri";"2000";"0,596";"553";"0,747";"0,429";"0,661";3523305
"Itariri";"2010";"0,677";"628";"0,837";"0,577";"0,642";3523305
"Itatiba";"1991";"0,554";"105";"0,741";"0,326";"0,702";3523404
"Itatiba";"2000";"0,705";"57";"0,816";"0,574";"0,749";3523404
"Itatiba";"2010";"0,778";"75";"0,844";"0,708";"0,788";3523404
"Itatinga";"1991";"0,455";"494";"0,706";"0,204";"0,654";3523503
"Itatinga";"2000";"0,595";"557";"0,792";"0,414";"0,642";3523503
"Itatinga";"2010";"0,706";"550";"0,841";"0,61";"0,685";3523503
"Itirapina";"1991";"0,512";"261";"0,719";"0,282";"0,663";3523602
"Itirapina";"2000";"0,665";"208";"0,783";"0,533";"0,706";3523602
"Itirapina";"2010";"0,724";"442";"0,813";"0,636";"0,734";3523602
"Itirapuã";"1991";"0,446";"520";"0,728";"0,208";"0,585";3523701
"Itirapuã";"2000";"0,586";"581";"0,743";"0,415";"0,652";3523701
"Itirapuã";"2010";"0,707";"548";"0,826";"0,636";"0,673";3523701
"Itobi";"1991";"0,455";"494";"0,698";"0,221";"0,609";3523800
"Itobi";"2000";"0,607";"510";"0,795";"0,435";"0,646";3523800
"Itobi";"2010";"0,717";"494";"0,82";"0,646";"0,697";3523800
"Itu";"1991";"0,55";"114";"0,72";"0,331";"0,697";3523909
"Itu";"2000";"0,697";"89";"0,802";"0,564";"0,748";3523909
"Itu";"2010";"0,773";"96";"0,854";"0,692";"0,782";3523909
"Itupeva";"1991";"0,452";"499";"0,762";"0,183";"0,662";3524006
"Itupeva";"2000";"0,662";"230";"0,805";"0,49";"0,736";3524006
"Itupeva";"2010";"0,762";"151";"0,844";"0,699";"0,75";3524006
"Ituverava";"1991";"0,556";"102";"0,735";"0,35";"0,669";3524105
"Ituverava";"2000";"0,701";"71";"0,809";"0,587";"0,724";3524105
"Ituverava";"2010";"0,765";"138";"0,841";"0,694";"0,768";3524105
"Jaborandi";"1991";"0,473";"432";"0,716";"0,23";"0,642";3524204
"Jaborandi";"2000";"0,619";"461";"0,79";"0,483";"0,623";3524204
"Jaborandi";"2010";"0,711";"528";"0,845";"0,627";"0,679";3524204
"Jaboticabal";"1991";"0,579";"42";"0,717";"0,377";"0,719";3524303
"Jaboticabal";"2000";"0,699";"83";"0,808";"0,577";"0,734";3524303
"Jaboticabal";"2010";"0,778";"75";"0,851";"0,71";"0,778";3524303
"Jacareí";"1991";"0,547";"122";"0,703";"0,334";"0,698";3524402
"Jacareí";"2000";"0,7";"78";"0,798";"0,597";"0,72";3524402
"Jacareí";"2010";"0,777";"80";"0,837";"0,749";"0,749";3524402
"Jaci";"1991";"0,476";"426";"0,711";"0,265";"0,573";3524501
"Jaci";"2000";"0,633";"387";"0,784";"0,481";"0,672";3524501
"Jaci";"2010";"0,723";"446";"0,818";"0,659";"0,7";3524501
"Jacupiranga";"1991";"0,477";"421";"0,695";"0,255";"0,612";3524600
"Jacupiranga";"2000";"0,618";"469";"0,733";"0,478";"0,675";3524600
"Jacupiranga";"2010";"0,717";"494";"0,832";"0,644";"0,687";3524600
"Jaguariúna";"1991";"0,533";"166";"0,742";"0,285";"0,717";3524709
"Jaguariúna";"2000";"0,715";"43";"0,834";"0,594";"0,738";3524709
"Jaguariúna";"2010";"0,784";"55";"0,862";"0,715";"0,782";3524709
"Jales";"1991";"0,567";"67";"0,717";"0,378";"0,674";3524808
"Jales";"2000";"0,7";"78";"0,819";"0,593";"0,707";3524808
"Jales";"2010";"0,776";"83";"0,855";"0,73";"0,75";3524808
"Jambeiro";"1991";"0,457";"487";"0,785";"0,205";"0,592";3524907
"Jambeiro";"2000";"0,645";"310";"0,852";"0,467";"0,673";3524907
"Jambeiro";"2010";"0,756";"188";"0,86";"0,69";"0,727";3524907
"Jandira";"1991";"0,484";"380";"0,747";"0,237";"0,642";3525003
"Jandira";"2000";"0,667";"196";"0,797";"0,538";"0,691";3525003
"Jandira";"2010";"0,76";"164";"0,841";"0,706";"0,738";3525003
"Jardinópolis";"1991";"0,503";"297";"0,748";"0,253";"0,673";3525102
"Jardinópolis";"2000";"0,66";"239";"0,772";"0,525";"0,708";3525102
"Jardinópolis";"2010";"0,735";"345";"0,853";"0,64";"0,728";3525102
"Jarinu";"1991";"0,446";"520";"0,676";"0,198";"0,661";3525201
"Jarinu";"2000";"0,604";"526";"0,77";"0,408";"0,702";3525201
"Jarinu";"2010";"0,733";"362";"0,826";"0,659";"0,723";3525201
"Jaú";"1991";"0,575";"49";"0,773";"0,355";"0,691";3525300
"Jaú";"2000";"0,705";"57";"0,803";"0,592";"0,738";3525300
"Jaú";"2010";"0,778";"75";"0,886";"0,693";"0,768";3525300
"Jeriquara";"1991";"0,363";"629";"0,711";"0,117";"0,577";3525409
"Jeriquara";"2000";"0,535";"634";"0,748";"0,319";"0,641";3525409
"Jeriquara";"2010";"0,703";"565";"0,814";"0,628";"0,68";3525409
"Joanópolis";"1991";"0,425";"578";"0,688";"0,176";"0,636";3525508
"Joanópolis";"2000";"0,589";"574";"0,762";"0,392";"0,683";3525508
"Joanópolis";"2010";"0,699";"584";"0,824";"0,585";"0,707";3525508
"João Ramalho";"1991";"0,438";"545";"0,706";"0,203";"0,585";3525607
"João Ramalho";"2000";"0,621";"448";"0,792";"0,48";"0,631";3525607
"João Ramalho";"2010";"0,741";"297";"0,818";"0,71";"0,701";3525607
"José Bonifácio";"1991";"0,539";"147";"0,763";"0,312";"0,658";3525706
"José Bonifácio";"2000";"0,681";"143";"0,803";"0,553";"0,711";3525706
"José Bonifácio";"2010";"0,777";"80";"0,869";"0,717";"0,752";3525706
"Júlio Mesquita";"1991";"0,481";"400";"0,688";"0,287";"0,562";3525805
"Júlio Mesquita";"2000";"0,613";"488";"0,742";"0,487";"0,637";3525805
"Júlio Mesquita";"2010";"0,716";"500";"0,813";"0,686";"0,659";3525805
"Jumirim";"1991";"0,506";"280";"0,759";"0,264";"0,645";3525854
"Jumirim";"2000";"0,641";"346";"0,776";"0,513";"0,663";3525854
"Jumirim";"2010";"0,741";"297";"0,863";"0,655";"0,721";3525854
"Jundiaí";"1991";"0,602";"19";"0,756";"0,39";"0,74";3525904
"Jundiaí";"2000";"0,744";"9";"0,822";"0,633";"0,79";3525904
"Jundiaí";"2010";"0,822";"4";"0,866";"0,768";"0,834";3525904
"Junqueirópolis";"1991";"0,535";"159";"0,698";"0,36";"0,608";3526001
"Junqueirópolis";"2000";"0,649";"289";"0,775";"0,537";"0,658";3526001
"Junqueirópolis";"2010";"0,745";"265";"0,86";"0,662";"0,727";3526001
"Juquiá";"1991";"0,463";"466";"0,688";"0,247";"0,583";3526100
"Juquiá";"2000";"0,618";"469";"0,771";"0,47";"0,651";3526100
"Juquiá";"2010";"0,7";"581";"0,823";"0,637";"0,654";3526100
"Juquitiba";"1991";"0,417";"591";"0,704";"0,174";"0,593";3526209
"Juquitiba";"2000";"0,583";"586";"0,757";"0,409";"0,639";3526209
"Juquitiba";"2010";"0,709";"542";"0,791";"0,662";"0,68";3526209
"Lagoinha";"1991";"0,428";"569";"0,686";"0,213";"0,537";3526308
"Lagoinha";"2000";"0,583";"586";"0,723";"0,448";"0,612";3526308
"Lagoinha";"2010";"0,693";"603";"0,797";"0,609";"0,686";3526308
"Laranjal Paulista";"1991";"0,529";"177";"0,675";"0,327";"0,672";3526407
"Laranjal Paulista";"2000";"0,661";"237";"0,767";"0,525";"0,718";3526407
"Laranjal Paulista";"2010";"0,729";"400";"0,829";"0,639";"0,732";3526407
"Lavínia";"1991";"0,502";"298";"0,697";"0,286";"0,636";3526506
"Lavínia";"2000";"0,646";"299";"0,738";"0,563";"0,649";3526506
"Lavínia";"2010";"0,721";"460";"0,82";"0,655";"0,698";3526506
"Lavrinhas";"1991";"0,474";"428";"0,677";"0,252";"0,623";3526605
"Lavrinhas";"2000";"0,618";"469";"0,783";"0,488";"0,617";3526605
"Lavrinhas";"2010";"0,729";"400";"0,823";"0,707";"0,665";3526605
"Leme";"1991";"0,514";"249";"0,73";"0,279";"0,666";3526704
"Leme";"2000";"0,635";"371";"0,76";"0,481";"0,7";3526704
"Leme";"2010";"0,744";"274";"0,851";"0,665";"0,729";3526704
"Lençóis Paulista";"1991";"0,558";"91";"0,744";"0,337";"0,693";3526803
"Lençóis Paulista";"2000";"0,697";"89";"0,821";"0,577";"0,716";3526803
"Lençóis Paulista";"2010";"0,764";"142";"0,837";"0,717";"0,743";3526803
"Limeira";"1991";"0,561";"83";"0,73";"0,353";"0,684";3526902
"Limeira";"2000";"0,7";"78";"0,797";"0,593";"0,726";3526902
"Limeira";"2010";"0,775";"90";"0,852";"0,719";"0,761";3526902
"Lindóia";"1991";"0,514";"249";"0,744";"0,271";"0,673";3527009
"Lindóia";"2000";"0,685";"132";"0,819";"0,549";"0,715";3527009
"Lindóia";"2010";"0,742";"290";"0,864";"0,654";"0,722";3527009
"Lins";"1991";"0,598";"23";"0,757";"0,404";"0,7";3527108
"Lins";"2000";"0,723";"28";"0,816";"0,62";"0,746";3527108
"Lins";"2010";"0,786";"47";"0,869";"0,733";"0,762";3527108
"Lorena";"1991";"0,591";"31";"0,722";"0,419";"0,683";3527207
"Lorena";"2000";"0,699";"83";"0,816";"0,591";"0,708";3527207
"Lorena";"2010";"0,766";"131";"0,856";"0,713";"0,736";3527207
"Lourdes";"1991";"0,481";"400";"0,695";"0,27";"0,593";3527256
"Lourdes";"2000";"0,618";"469";"0,785";"0,495";"0,606";3527256
"Lourdes";"2010";"0,742";"290";"0,816";"0,717";"0,697";3527256
"Louveira";"1991";"0,513";"253";"0,769";"0,261";"0,672";3527306
"Louveira";"2000";"0,665";"208";"0,819";"0,505";"0,712";3527306
"Louveira";"2010";"0,777";"80";"0,861";"0,697";"0,783";3527306
"Lucélia";"1991";"0,548";"120";"0,746";"0,36";"0,613";3527405
"Lucélia";"2000";"0,665";"208";"0,782";"0,563";"0,669";3527405
"Lucélia";"2010";"0,752";"216";"0,841";"0,695";"0,728";3527405
"Lucianópolis";"1991";"0,439";"541";"0,725";"0,221";"0,527";3527504
"Lucianópolis";"2000";"0,598";"547";"0,764";"0,467";"0,598";3527504
"Lucianópolis";"2010";"0,733";"362";"0,809";"0,662";"0,736";3527504
"Luís Antônio";"1991";"0,481";"400";"0,688";"0,256";"0,631";3527603
"Luís Antônio";"2000";"0,672";"171";"0,802";"0,548";"0,691";3527603
"Luís Antônio";"2010";"0,731";"381";"0,822";"0,671";"0,709";3527603
"Luiziânia";"1991";"0,481";"400";"0,711";"0,27";"0,578";3527702
"Luiziânia";"2000";"0,602";"533";"0,749";"0,466";"0,624";3527702
"Luiziânia";"2010";"0,702";"574";"0,815";"0,623";"0,682";3527702
"Lupércio";"1991";"0,433";"560";"0,688";"0,198";"0,597";3527801
"Lupércio";"2000";"0,592";"566";"0,76";"0,448";"0,609";3527801
"Lupércio";"2010";"0,724";"442";"0,83";"0,674";"0,679";3527801
"Lutécia";"1991";"0,467";"454";"0,701";"0,252";"0,578";3527900
"Lutécia";"2000";"0,657";"258";"0,769";"0,582";"0,635";3527900
"Lutécia";"2010";"0,72";"469";"0,846";"0,659";"0,67";3527900
"Macatuba";"1991";"0,522";"206";"0,72";"0,298";"0,662";3528007
"Macatuba";"2000";"0,641";"346";"0,789";"0,507";"0,657";3528007
"Macatuba";"2010";"0,77";"110";"0,859";"0,697";"0,763";3528007
"Macaubal";"1991";"0,484";"380";"0,759";"0,236";"0,633";3528106
"Macaubal";"2000";"0,666";"202";"0,791";"0,555";"0,674";3528106
"Macaubal";"2010";"0,743";"283";"0,844";"0,676";"0,72";3528106
"Macedônia";"1991";"0,47";"442";"0,717";"0,257";"0,565";3528205
"Macedônia";"2000";"0,619";"461";"0,779";"0,497";"0,614";3528205
"Macedônia";"2010";"0,74";"306";"0,852";"0,675";"0,705";3528205
"Magda";"1991";"0,522";"206";"0,68";"0,346";"0,603";3528304
"Magda";"2000";"0,673";"169";"0,785";"0,578";"0,672";3528304
"Magda";"2010";"0,753";"207";"0,823";"0,717";"0,724";3528304
"Mairinque";"1991";"0,525";"193";"0,72";"0,293";"0,687";3528403
"Mairinque";"2000";"0,658";"246";"0,774";"0,535";"0,688";3528403
"Mairinque";"2010";"0,743";"283";"0,831";"0,684";"0,721";3528403
"Mairiporã";"1991";"0,533";"166";"0,717";"0,285";"0,739";3528502
"Mairiporã";"2000";"0,682";"141";"0,801";"0,527";"0,751";3528502
"Mairiporã";"2010";"0,788";"40";"0,881";"0,723";"0,767";3528502
"Manduri";"1991";"0,484";"380";"0,673";"0,258";"0,651";3528601
"Manduri";"2000";"0,63";"404";"0,762";"0,498";"0,66";3528601
"Manduri";"2010";"0,739";"314";"0,818";"0,675";"0,73";3528601
"Marabá Paulista";"1991";"0,415";"593";"0,658";"0,2";"0,542";3528700
"Marabá Paulista";"2000";"0,584";"584";"0,73";"0,477";"0,571";3528700
"Marabá Paulista";"2010";"0,677";"628";"0,809";"0,591";"0,65";3528700
"Maracaí";"1991";"0,515";"240";"0,757";"0,284";"0,637";3528809
"Maracaí";"2000";"0,679";"146";"0,784";"0,613";"0,651";3528809
"Maracaí";"2010";"0,771";"107";"0,85";"0,758";"0,711";3528809
"Marapoama";"1991";"0,41";"596";"0,759";"0,165";"0,549";3528858
"Marapoama";"2000";"0,613";"488";"0,779";"0,476";"0,622";3528858
"Marapoama";"2010";"0,752";"216";"0,852";"0,679";"0,736";3528858
"Mariápolis";"1991";"0,488";"361";"0,7";"0,264";"0,629";3528908
"Mariápolis";"2000";"0,634";"377";"0,769";"0,552";"0,601";3528908
"Mariápolis";"2010";"0,718";"489";"0,83";"0,651";"0,684";3528908
"Marília";"1991";"0,601";"21";"0,729";"0,418";"0,714";3529005
"Marília";"2000";"0,725";"27";"0,802";"0,638";"0,746";3529005
"Marília";"2010";"0,798";"25";"0,854";"0,776";"0,768";3529005
"Marinópolis";"1991";"0,486";"369";"0,687";"0,28";"0,596";3529104
"Marinópolis";"2000";"0,597";"549";"0,73";"0,481";"0,607";3529104
"Marinópolis";"2010";"0,731";"381";"0,825";"0,694";"0,681";3529104
"Martinópolis";"1991";"0,516";"234";"0,698";"0,306";"0,645";3529203
"Martinópolis";"2000";"0,645";"310";"0,771";"0,535";"0,651";3529203
"Martinópolis";"2010";"0,721";"460";"0,832";"0,641";"0,703";3529203
"Matão";"1991";"0,517";"229";"0,746";"0,276";"0,673";3529302
"Matão";"2000";"0,687";"121";"0,798";"0,58";"0,701";3529302
"Matão";"2010";"0,773";"96";"0,847";"0,713";"0,766";3529302
"Mauá";"1991";"0,523";"202";"0,719";"0,294";"0,677";3529401
"Mauá";"2000";"0,664";"216";"0,775";"0,555";"0,682";3529401
"Mauá";"2010";"0,766";"131";"0,852";"0,733";"0,721";3529401
"Mendonça";"1991";"0,487";"364";"0,719";"0,244";"0,659";3529500
"Mendonça";"2000";"0,666";"202";"0,784";"0,547";"0,69";3529500
"Mendonça";"2010";"0,744";"274";"0,863";"0,663";"0,72";3529500
"Meridiano";"1991";"0,452";"499";"0,688";"0,243";"0,552";3529609
"Meridiano";"2000";"0,621";"448";"0,778";"0,498";"0,617";3529609
"Meridiano";"2010";"0,731";"381";"0,817";"0,667";"0,717";3529609
"Mesópolis";"1991";"0,428";"569";"0,688";"0,232";"0,49";3529658
"Mesópolis";"2000";"0,627";"422";"0,772";"0,536";"0,596";3529658
"Mesópolis";"2010";"0,724";"442";"0,847";"0,666";"0,674";3529658
"Miguelópolis";"1991";"0,498";"315";"0,714";"0,275";"0,629";3529708
"Miguelópolis";"2000";"0,649";"289";"0,796";"0,506";"0,678";3529708
"Miguelópolis";"2010";"0,741";"297";"0,863";"0,661";"0,712";3529708
"Mineiros do Tietê";"1991";"0,492";"344";"0,706";"0,259";"0,65";3529807
"Mineiros do Tietê";"2000";"0,642";"336";"0,801";"0,481";"0,687";3529807
"Mineiros do Tietê";"2010";"0,73";"388";"0,823";"0,658";"0,719";3529807
"Mira Estrela";"1991";"0,425";"578";"0,687";"0,208";"0,537";3530003
"Mira Estrela";"2000";"0,626";"427";"0,764";"0,524";"0,613";3530003
"Mira Estrela";"2010";"0,743";"283";"0,806";"0,731";"0,697";3530003
"Miracatu";"1991";"0,452";"499";"0,68";"0,212";"0,642";3529906
"Miracatu";"2000";"0,563";"620";"0,707";"0,399";"0,633";3529906
"Miracatu";"2010";"0,697";"590";"0,803";"0,655";"0,645";3529906
"Mirandópolis";"1991";"0,545";"127";"0,757";"0,333";"0,641";3530102
"Mirandópolis";"2000";"0,679";"146";"0,771";"0,597";"0,68";3530102
"Mirandópolis";"2010";"0,751";"219";"0,869";"0,665";"0,732";3530102
"Mirante do Paranapanema";"1991";"0,496";"321";"0,703";"0,306";"0,566";3530201
"Mirante do Paranapanema";"2000";"0,63";"404";"0,8";"0,499";"0,627";3530201
"Mirante do Paranapanema";"2010";"0,724";"442";"0,841";"0,674";"0,67";3530201
"Mirassol";"1991";"0,542";"136";"0,733";"0,322";"0,673";3530300
"Mirassol";"2000";"0,709";"51";"0,826";"0,609";"0,71";3530300
"Mirassol";"2010";"0,762";"151";"0,846";"0,698";"0,748";3530300
"Mirassolândia";"1991";"0,458";"483";"0,733";"0,225";"0,581";3530409
"Mirassolândia";"2000";"0,634";"377";"0,801";"0,532";"0,597";3530409
"Mirassolândia";"2010";"0,738";"321";"0,829";"0,69";"0,704";3530409
"Mococa";"1991";"0,538";"152";"0,716";"0,335";"0,651";3530508
"Mococa";"2000";"0,678";"150";"0,805";"0,559";"0,694";3530508
"Mococa";"2010";"0,762";"151";"0,827";"0,709";"0,756";3530508
"Mogi das Cruzes";"1991";"0,566";"70";"0,697";"0,37";"0,704";3530607
"Mogi das Cruzes";"2000";"0,701";"71";"0,796";"0,589";"0,734";3530607
